gen	nevals	avg      	min       	max     
1  	10    	0.115703 	0         	0.407031
2  	10    	0.0961719	0         	0.5625  
3  	10    	0.0758594	0         	0.596875
4  	10    	0.0790625	0         	0.442969
5  	10    	0.172187 	0         	0.730469
6  	10    	0.276562 	0         	0.644531
7  	10    	0.143281 	0         	0.391406
8  	10    	0.303437 	0         	0.708594
9  	10    	0.224141 	0.00546875	0.571094
10 	10    	0.302656 	0.0335937 	0.553125
11 	10    	0.398594 	0.0328125 	0.711719
12 	10    	0.512969 	0.1125    	0.902344
13 	10    	0.549766 	0         	0.754687
14 	10    	0.597422 	0.246094  	0.85    
15 	10    	0.521875 	0.0078125 	0.779687
16 	10    	0.610781 	0.0671875 	0.827344
17 	10    	0.598125 	0.432031  	0.7375  
18 	10    	0.551562 	0.405469  	0.654687
19 	10    	0.5675   	0.310937  	0.795312
20 	10    	0.657656 	0.326562  	0.846094
21 	10    	0.59625  	0.392188  	0.792188
22 	10    	0.638594 	0.461719  	0.803125
23 	10    	0.645781 	0.472656  	0.889062
24 	10    	0.629219 	0.409375  	0.713281
25 	10    	0.660547 	0.485938  	0.773438
26 	10    	0.605391 	0.428125  	0.840625
27 	10    	0.660547 	0.483594  	0.896094
28 	10    	0.716406 	0.591406  	0.884375
29 	10    	0.650156 	0.472656  	0.828125
30 	10    	0.687344 	0.561719  	0.774219
31 	10    	0.570234 	0.445312  	0.647656
32 	10    	0.673594 	0.473438  	0.860938
33 	10    	0.64875  	0.5       	0.826562
34 	10    	0.667578 	0.458594  	0.869531
35 	10    	0.644922 	0.500781  	0.809375
36 	10    	0.585703 	0.463281  	0.825781
37 	10    	0.598203 	0.373437  	0.75    
38 	10    	0.682813 	0.498437  	0.815625
39 	10    	0.610781 	0.520312  	0.717969
40 	10    	0.631172 	0.4875    	0.834375
41 	10    	0.594219 	0.315625  	0.726562
42 	10    	0.561094 	0.416406  	0.863281
43 	10    	0.59125  	0.445312  	0.71875 
44 	10    	0.615781 	0.449219  	0.86875 
45 	10    	0.67375  	0.553125  	0.928906
46 	10    	0.589141 	0.447656  	0.775781
47 	10    	0.645234 	0.534375  	0.796094
48 	10    	0.609609 	0.49375   	0.7125  
49 	10    	0.593125 	0.457031  	0.827344
50 	10    	0.634062 	0.479687  	0.754687
51 	10    	0.619453 	0.473438  	0.921094
52 	10    	0.610391 	0.460156  	0.721094
53 	10    	0.635391 	0.48125   	0.848437
54 	10    	0.666797 	0.429688  	0.854688
55 	10    	0.566328 	0.457813  	0.653125
56 	10    	0.599531 	0.473438  	0.814063
57 	10    	0.627109 	0.458594  	0.701562
58 	10    	0.683125 	0.546094  	0.848437
59 	10    	0.656016 	0.467187  	0.752344
60 	10    	0.642578 	0.451562  	0.807031
61 	10    	0.655312 	0.489844  	0.786719
62 	10    	0.651484 	0.478906  	0.811719
63 	10    	0.64625  	0.50625   	0.753125
64 	10    	0.610313 	0.49375   	0.807031
65 	10    	0.599375 	0.46875   	0.73125 
66 	10    	0.579219 	0.429688  	0.738281
67 	10    	0.596016 	0.40625   	0.755469
68 	10    	0.548047 	0.270313  	0.739844
69 	10    	0.577969 	0.394531  	0.707812
70 	10    	0.487344 	0.3875    	0.595313
71 	10    	0.579766 	0.467969  	0.720313
72 	10    	0.578828 	0.457813  	0.805469
73 	10    	0.539297 	0.317188  	0.709375
74 	10    	0.587266 	0.421875  	0.835156
75 	10    	0.611953 	0.438281  	0.970313
76 	10    	0.597188 	0.470313  	0.800781
77 	10    	0.584844 	0.344531  	0.801562
78 	10    	0.644844 	0.471094  	0.738281
79 	10    	0.633516 	0.453125  	0.8     
80 	10    	0.638516 	0.473438  	0.828125
81 	10    	0.562578 	0.370312  	0.709375
82 	10    	0.618906 	0.489063  	0.774219
83 	10    	0.645781 	0.498437  	0.828906
84 	10    	0.625156 	0.547656  	0.766406
85 	10    	0.657187 	0.523438  	0.81875 
86 	10    	0.650156 	0.447656  	0.754687
87 	10    	0.622188 	0.49375   	0.827344
88 	10    	0.662969 	0.526563  	0.809375
89 	10    	0.642578 	0.55      	0.825   
90 	10    	0.641406 	0.51875   	0.730469
91 	10    	0.605234 	0.440625  	0.699219
92 	10    	0.698984 	0.539062  	0.951562
93 	10    	0.668516 	0.564063  	0.9375  
94 	10    	0.699922 	0.551562  	0.842969
95 	10    	0.686563 	0.573438  	0.808594
96 	10    	0.692422 	0.529687  	0.880469
97 	10    	0.654375 	0.442188  	0.803125
98 	10    	0.602031 	0.5       	0.801562
99 	10    	0.655    	0.527344  	0.760156
100	10    	0.627578 	0.413281  	0.821875
