gen	nevals	avg      	min      	max     
1  	20    	0.0482031	0        	0.380469
2  	20    	0.0811719	0        	0.779687
3  	20    	0.0727344	0        	0.288281
4  	20    	0.119609 	0        	0.632812
5  	20    	0.145664 	0        	0.629687
6  	20    	0.222891 	0        	0.68125 
7  	20    	0.322344 	0        	0.686719
8  	20    	0.333516 	0        	0.686719
9  	20    	0.504062 	0.0984375	0.825781
10 	20    	0.505117 	0        	0.773438
11 	20    	0.520508 	0.172656 	0.777344
12 	20    	0.593164 	0.452344 	0.761719
13 	20    	0.572852 	0.0898438	0.8875  
14 	20    	0.599961 	0.355469 	0.791406
15 	20    	0.537305 	0.314844 	0.796875
16 	20    	0.57582  	0.164062 	0.770312
17 	20    	0.592227 	0.328125 	0.83125 
18 	20    	0.646289 	0.428906 	0.840625
19 	20    	0.662031 	0.413281 	0.915625
20 	20    	0.610977 	0.427344 	0.867188
21 	20    	0.647695 	0.489063 	0.853125
22 	20    	0.580078 	0.385937 	0.85625 
23 	20    	0.606992 	0.31875  	0.875781
24 	20    	0.629727 	0.444531 	0.782813
25 	20    	0.542656 	0.278906 	0.744531
26 	20    	0.583984 	0.389844 	0.767969
27 	20    	0.597773 	0.303906 	0.839844
28 	20    	0.628203 	0.433594 	0.760156
29 	20    	0.594023 	0.373437 	0.810156
30 	20    	0.620664 	0.43125  	0.825   
31 	20    	0.601797 	0.390625 	0.824219
32 	20    	0.573164 	0.0101563	0.9125  
33 	20    	0.573984 	0.127344 	0.785937
34 	20    	0.638047 	0.454688 	0.860156
35 	20    	0.632617 	0.469531 	0.853125
36 	20    	0.45332  	0.0179687	0.725   
37 	20    	0.605234 	0.355469 	0.765625
38 	20    	0.615938 	0.325781 	0.874219
39 	20    	0.599844 	0.346094 	0.753906
40 	20    	0.551914 	0        	0.713281
41 	20    	0.559648 	0        	0.836719
42 	20    	0.605703 	0.345313 	0.852344
43 	20    	0.567148 	0.009375 	0.870313
44 	20    	0.607422 	0.438281 	0.778125
45 	20    	0.530273 	0.0453125	0.810937
46 	20    	0.490859 	0.0289063	0.721875
47 	20    	0.532813 	0.0492187	0.803125
48 	20    	0.546836 	0.339844 	0.792969
49 	20    	0.597617 	0.421094 	0.760938
50 	20    	0.649219 	0.298438 	0.902344
51 	20    	0.590391 	0.371875 	0.749219
52 	20    	0.633594 	0.400781 	0.84375 
53 	20    	0.630664 	0.407813 	0.792969
54 	20    	0.602305 	0.333594 	0.7375  
55 	20    	0.613477 	0.392188 	0.779687
56 	20    	0.605547 	0.366406 	0.88125 
57 	20    	0.614375 	0.403906 	0.773438
58 	20    	0.601172 	0.529687 	0.725   
59 	20    	0.637227 	0.472656 	0.839844
60 	20    	0.639688 	0.426563 	0.878906
61 	20    	0.616914 	0.457813 	0.773438
62 	20    	0.589063 	0.438281 	0.814063
63 	20    	0.59332  	0.328906 	0.829688
64 	20    	0.63     	0.4625   	0.825   
65 	20    	0.616836 	0.379688 	0.939063
66 	20    	0.619219 	0.461719 	0.825   
67 	20    	0.626328 	0.463281 	0.752344
68 	20    	0.612773 	0.384375 	0.782813
69 	20    	0.583789 	0.245312 	0.775   
70 	20    	0.611133 	0.326562 	0.792188
71 	20    	0.610938 	0.483594 	0.782031
72 	20    	0.658086 	0.49375  	0.817187
73 	20    	0.621523 	0.473438 	0.822656
74 	20    	0.617656 	0.459375 	0.7875  
75 	20    	0.633594 	0.49375  	0.848437
76 	20    	0.645391 	0.514844 	0.797656
77 	20    	0.660508 	0.423438 	0.939063
78 	20    	0.62832  	0.435937 	0.784375
79 	20    	0.619336 	0.415625 	0.85    
80 	20    	0.628477 	0.449219 	0.800781
81 	20    	0.632383 	0.429688 	0.840625
82 	20    	0.605586 	0.480469 	0.757812
