gen	nevals	avg     	min      	max    
1  	20    	-56.116 	-1117.51 	37.1105
2  	20    	-90.9392	-1852.41 	65.3883
3  	20    	614.045 	-737.974 	5842.66
4  	20    	48.1288 	-520.767 	1553.82
5  	20    	285.203 	-105.235 	5825.07
6  	20    	33.7117 	-61.0355 	300.363
7  	20    	-23.6135	-535.668 	129.904
8  	20    	-123.494	-3097.94 	5829.16
9  	20    	-236.113	-2663.57 	350.516
10 	20    	406.774 	-112.043 	5838.99
11 	20    	-215.18 	-5589.5  	974.199
12 	20    	276.438 	-1140.15 	5828.24
13 	20    	111.266 	-1014.12 	1314.75
14 	20    	278.627 	-713.273 	4078.41
15 	20    	449.51  	-172.967 	5831.25
16 	20    	815.256 	-30.2689 	5827.26
17 	20    	642.77  	-191.207 	5855.33
18 	20    	542.318 	-203.691 	5844.04
19 	20    	114.433 	-3040.95 	2420.62
20 	20    	1083.64 	-234.771 	5843.67
21 	20    	415.286 	-224.035 	1752.94
22 	20    	1270.88 	-65.1283 	5855.83
23 	20    	1348.17 	-1053.05 	5856.97
24 	20    	689.363 	-663.136 	5838.82
25 	20    	1217.01 	-45.2393 	5836.61
26 	20    	1761.85 	-216.115 	5833.48
27 	20    	1218.87 	-148.984 	5867.03
28 	20    	1166.21 	-87.23   	5846.55
29 	20    	1063.7  	-707.266 	5833.8 
30 	20    	1310.18 	-10.0188 	5835.33
31 	20    	477.344 	-996.106 	2001.8 
32 	20    	962.586 	-878.656 	5839.46
33 	20    	541.791 	-404.845 	3573.01
34 	20    	648.935 	-737.253 	5825.2 
35 	20    	1326.29 	-89.3639 	5843.88
36 	20    	1528.09 	-193.162 	5851.6 
37 	20    	1833.71 	-265.589 	5861.67
38 	20    	729.388 	-242.182 	5825.46
39 	20    	1555.32 	-265.701 	5840.15
40 	20    	1474.97 	-44.9344 	5836.87
41 	20    	1835.46 	-205.015 	5852.29
42 	20    	1664.54 	-84.6261 	5853.22
43 	20    	1726.63 	-61.9957 	5844.51
44 	20    	2672.69 	-24.0026 	5860.6 
45 	20    	1887.43 	-59.8025 	5852.15
46 	20    	1534.03 	-63.2347 	5857.59
47 	20    	1803.12 	-61.6293 	5860.43
