gen	nevals	avg    	min   	max   
1  	25    	1073.63	631.2 	1484.4
2  	25    	1148.72	710.8 	2218  
3  	25    	1442.98	705.6 	2405.2
4  	25    	1443.49	731.6 	2433.2
5  	25    	1792.16	871.6 	3046.8
6  	25    	1515.41	720   	2559.2
7  	25    	2013.54	757.6 	2786.4
8  	25    	2273.49	1270  	3084.4
9  	25    	2327.62	1640.4	3212  
10 	25    	2299.25	1602.8	3632.8
11 	25    	2176.13	1276.4	3149.6
12 	25    	2200.26	1598  	2802  
13 	25    	2275.55	1252  	3272.8
14 	25    	2217.38	1111.6	2926  
15 	25    	2223.17	1677.6	3154.4
16 	25    	2364.29	1407.2	3225.6
17 	25    	2260.83	1574.8	3390.8
18 	25    	2339.55	1090.8	3148.4
19 	25    	2414.3 	1790.8	3197.2
20 	25    	2277.87	1621.2	2802.8
21 	25    	2501.55	1648  	3104  
22 	25    	2299.07	1584.4	3168  
23 	25    	2279.18	1655.6	3082  
24 	25    	2191.02	1430.4	2931.2
25 	25    	2408.13	1723.2	3334.4
26 	25    	2323.54	1447.6	3263.6
27 	25    	2388.54	1664  	3222  
28 	25    	2380.5 	1074.8	3390.8
29 	25    	2252.99	902.4 	2864  
30 	25    	2470.03	1576  	3360.4
31 	25    	2474.8 	1491.6	3244  
32 	25    	2544.16	1616.4	3408.4
33 	25    	2570.94	1500  	3404.8
34 	25    	2402.86	1440  	3919.6
35 	25    	2527.92	1580.8	3421.6
36 	25    	2521.9 	1471.2	3894  
37 	25    	2768.8 	1582  	3860.8
38 	25    	2388.42	1456  	3850.4
39 	25    	2510.69	1558.4	3388.4
40 	25    	2822.03	1668.4	3977.6
41 	25    	2642.58	1518  	3898.8
42 	25    	2716.91	1833.6	4619.2
43 	25    	2810.93	1913.2	3827.6
44 	25    	2764.35	1705.6	3903.2
45 	25    	2921.74	2148.4	4003.6
46 	25    	2880.42	2068.8	4167.2
47 	25    	3000.56	1831.6	4902.4
48 	25    	2672.77	1714.8	4395.6
49 	25    	2839.89	1865.6	4018.8
50 	25    	2736.34	1861.6	4008.4
51 	25    	3049.22	1822.4	4326  
52 	25    	2795.57	1831.2	3566.4
53 	25    	2659.55	1773.2	3492.4
54 	25    	3085.46	1882.8	4257.2
55 	25    	3155.58	2124.4	4823.2
56 	25    	2921.06	1914.8	4111.6
57 	25    	3231.39	2130.8	4431.6
58 	25    	3317.78	2156.4	5428  
59 	25    	3418.86	2083.6	4883.2
60 	25    	3198.8 	2451.2	4911.2
61 	25    	3144.88	2188.4	4398  
62 	25    	3390.24	2369.6	4873.2
63 	25    	3121.86	2398.4	4259.2
64 	25    	3290.83	2548.8	4360  
65 	25    	3095.78	2171.2	5086.8
66 	25    	3150.83	2172.8	3996.4
67 	25    	3406.91	2606.4	4950.4
68 	25    	3324.51	1849.2	4538.4
69 	25    	3452.82	2245.2	5348.8
70 	25    	3367.54	2476.8	4774.8
71 	25    	3526.69	2575.6	5679.2
72 	25    	3614.88	2325.2	4576.4
73 	25    	3426.99	2334.4	4956  
74 	25    	3566.38	2460.8	4953.2
75 	25    	3477.74	2379.6	5137.2
76 	25    	3588.26	2146.4	5138  
77 	25    	3837.25	2747.2	4995.2
78 	25    	3862.96	2532.4	5670.8
79 	25    	3482.3 	2452  	4557.6
80 	25    	3622.18	2825.2	5412.8
81 	25    	3420.32	2439.6	4445.6
82 	25    	3633.31	2646  	4936.4
83 	25    	3346.02	1534.8	4811.6
84 	25    	3532.08	2346.4	4404  
85 	25    	3730.66	1881.6	4534  
86 	25    	3614.42	2420  	4792.4
87 	25    	3507.84	2351.2	5829.2
88 	25    	3558.34	2765.2	4523.2
89 	25    	3536.13	2200.4	4644.4
90 	25    	3529.22	2579.2	5190  
91 	25    	3439.12	2434.4	4779.2
92 	25    	3459.25	2440.4	5076.8
93 	25    	3586.22	2328.8	5571.2
94 	25    	3464.05	2359.6	4174.4
95 	25    	3804.77	2529.2	5832.8
96 	25    	3756.32	2637.2	5133.6
97 	25    	3841.44	2951.6	5321.6
98 	25    	3598.4 	2304.4	5439.6
99 	25    	3744.02	2554.4	5611.2
100	25    	3780.67	2236  	5454  
101	25    	3848.13	2912.8	5343.6
102	25    	4037.78	3194  	5619.6
103	25    	3934.42	3230.8	5209.6
104	25    	3972.14	2433.2	5296  
105	25    	3841.1 	2906.8	4949.6
106	25    	3886.83	2320  	5218  
107	25    	3799.49	2763.6	5317.2
108	25    	3832.62	2902.4	5014.4
109	25    	3766.74	2354.8	4963.2
110	25    	3729.25	2350.4	5332.4
111	25    	3690.62	2496  	4915.6
112	25    	3649.62	2899.6	5030.4
113	25    	3814.85	2418  	4719.2
114	25    	3890.64	2655.2	4889.2
115	25    	3785.42	2408  	5645.6
116	25    	3635.04	1945.6	4593.6
117	25    	3859.87	2488.8	5364.8
118	25    	3863.5 	2857.6	5325.6
119	25    	3729.5 	2604.4	5006.4
120	25    	3785.02	2898  	4742.4
121	25    	3715.23	2562  	4881.2
122	25    	4013.89	2688.8	5586.4
123	25    	3737.33	2706.4	5482.4
124	25    	3470.91	2014.8	4677.2
125	25    	3936.46	2395.2	6033.6
126	25    	3862.64	2459.6	5015.2
127	25    	3790.58	2542.4	5720  
128	25    	3580.67	2714.4	5880  
129	25    	3954.32	2532.8	5806.8
130	25    	3569.22	2429.2	4840.8
131	25    	3752.75	1895.6	5414.8
132	25    	3892.69	2474.4	4995.2
133	25    	4004.21	3130.4	5147.2
134	25    	3538.51	2308.4	4843.6
135	25    	4023.68	2991.2	5296.4
136	25    	3686.88	2494.4	5418  
137	25    	3728.48	2553.2	5318.8
138	25    	3691.87	2462  	5027.2
139	25    	3635.66	2128.8	4502.8
140	25    	3778.98	2298.4	4869.6
141	25    	3856.19	2408  	5248.8
142	25    	3647.25	2642  	4898.4
143	25    	3929.28	2712.8	5737.6
144	25    	3905.02	2818.8	5366.8
145	25    	3559.22	2577.6	4513.6
146	25    	3778.83	2519.6	4928  
147	25    	3786.27	2405.6	5078  
148	25    	3637.54	2328.8	4950  
149	25    	3605.02	1886.8	5082  
150	25    	3850.82	2420.8	5848.8
151	25    	3693.76	2390.8	5099.6
152	25    	3715.34	2446  	5115.6
153	25    	3922.43	2220.4	5260.4
154	25    	3981.78	2984.8	5116  
155	25    	3819.55	2755.2	4840  
156	25    	3835.62	2684  	5071.2
157	25    	3890.21	2476  	5724  
158	25    	3624.02	2247.2	5413.2
159	25    	3596.1 	2499.6	4850.4
160	25    	3799.92	2558  	5270.8
161	25    	3959.94	2430  	5323.2
162	25    	3451.78	2509.6	4041.6
163	25    	3743.74	2531.2	5750.4
164	25    	3741.17	2608  	5301.6
165	25    	3719.76	2552.4	4980.4
166	25    	3955.54	2946.4	5094.4
167	25    	3769.42	2222.4	5217.2
168	25    	3836.19	2672.4	4946.4
169	25    	3943.15	2292  	5088.8
170	25    	3821.87	2984  	5085.2
171	25    	3711.46	2295.2	5358.4
172	25    	3828.24	2722.8	5169.2
173	25    	3763.65	2663.6	4965.2
174	25    	3595.81	2386.8	5136  
175	25    	3621.47	2068  	5067.2
176	25    	3776.67	2147.6	4776  
177	25    	3678.78	2418.4	5855.6
178	25    	3600.08	2412.8	4465.2
179	25    	3478.61	2587.6	4559.2
180	25    	3652.06	2583.6	5288.8
181	25    	3480   	2230  	4464.4
182	25    	3544.59	2242.8	4482.4
183	25    	3692.56	2899.6	5587.6
184	25    	3818.21	2571.2	5561.2
185	25    	3502.61	2139.2	4589.2
186	25    	3719.94	2253.6	4920.4
187	25    	3996.5 	2705.2	5377.6
188	25    	3637.26	2306  	4504.8
189	25    	3646.13	2404  	4734.8
190	25    	3905.3 	2885.6	5645.2
191	25    	3755.38	2746.4	5372.8
192	25    	4012.94	2549.2	5558.8
193	25    	3740.29	2639.6	5411.6
194	25    	3790.88	2835.6	5076.4
195	25    	3977.62	2341.6	5364.8
196	25    	3869.14	2844.8	4885.2
197	25    	4087.92	3034.4	4738.8
198	25    	3998.59	2943.6	5166.4
199	25    	4032.19	2904  	4975.6
200	25    	4000   	2592.4	5499.6
201	25    	3912.24	2485.6	5265.2
202	25    	4026.93	1828  	5363.6
203	25    	4176.83	2896.4	5275.2
204	25    	3967.33	2680.8	5874.8
205	25    	4046.94	2702.8	5070  
206	25    	4058.37	2496  	5934.4
207	25    	4025.97	3026  	5266  
208	25    	3893.15	2598.4	5311.2
209	25    	4127.92	2929.2	5946.8
210	25    	3706.05	2440.4	5390  
211	25    	3856.16	2675.2	5628.8
212	25    	4172.18	2438.8	5424  
213	25    	4035.71	2081.2	5429.2
214	25    	3895.68	2012.8	5241.6
215	25    	4051.63	2584.8	5402.8
216	25    	3955.95	2277.6	5359.2
217	25    	4476.4 	2689.2	5541.2
218	25    	4276.78	2475.2	5780.4
219	25    	4189.78	3120.8	5465.6
220	25    	4121.6 	2962.4	5855.2
221	25    	4095.17	3200.4	5305.2
222	25    	4136.96	2814.8	5478  
223	25    	4369.18	2485.2	5629.6
224	25    	4228.32	3170.8	6040.4
225	25    	4009.95	2174  	5329.2
226	25    	4128.61	2478  	5650.8
227	25    	3871.12	2875.6	5540.8
228	25    	4073.47	2875.6	5700  
229	25    	4414.56	2576.4	5822.8
230	25    	4004.58	2878.8	5329.2
231	25    	3932.62	2963.6	4898  
232	25    	4201.86	3046.4	5460.8
233	25    	4406.32	2893.2	6731.2
234	25    	4179.74	2847.6	5130.8
235	25    	4115.95	2340.8	6112.8
236	25    	4217.2 	3094.4	5766  
237	25    	4301.66	2519.2	6910.4
238	25    	4404.43	3236.8	5984.8
239	25    	4308.1 	2195.2	6235.6
240	25    	4487.58	3118.4	5878  
241	25    	4152.67	2846.8	5507.6
242	25    	4053.71	3061.2	5186.8
243	25    	4327.5 	3150  	6256.4
244	25    	4119.14	2800  	5955.6
245	25    	3884.67	3010  	5229.2
246	25    	3984.98	2819.6	5094.4
247	25    	4136.88	2523.2	5266.4
248	25    	4146.54	3166.4	5273.2
249	25    	4132.32	3001.2	5688  
250	25    	3932.22	2725.6	5162.4
251	25    	4304.18	2458.4	5173.2
252	25    	3758.1 	2046.8	5474.4
253	25    	4179.63	3189.6	5367.2
254	25    	4007.47	2859.2	5635.2
255	25    	3758.98	2221.6	5195.2
256	25    	3956.66	2697.2	5925.6
257	25    	3991.68	2386.4	5659.6
258	25    	4408.21	3128.8	5830.4
259	25    	4034.82	3166  	5020.8
260	25    	4090.53	2714.8	5151.6
261	25    	4104.26	2949.6	5031.6
262	25    	4350.83	3014  	6313.2
263	25    	3881.81	2729.6	5605.6
264	25    	4227.79	2922.8	5771.6
265	25    	4017.58	2874.8	5498.4
266	25    	4053.26	2750  	5777.6
267	25    	3990.66	2339.2	5416  
268	25    	4064.08	2471.6	5649.6
269	25    	3981.38	2726.4	5737.2
270	25    	3972.51	2708  	5294.8
271	25    	3942.86	2677.6	6382.4
272	25    	4090.99	3143.6	5609.6
273	25    	4147.33	2966.4	5400.4
274	25    	3944.78	2334.4	5286  
275	25    	3941.23	2667.2	5128  
276	25    	4076.32	2544.8	6199.6
277	25    	3946.83	2602  	5313.2
278	25    	3847.17	2623.6	5210.8
279	25    	3897.46	2972.8	5281.6
280	25    	3883.57	2714  	4921.6
281	25    	3936.43	2536  	5422.4
282	25    	3985.66	2765.6	5787.6
283	25    	4502.7 	3146  	6376  
284	25    	3910.38	2780.8	5746.4
285	25    	4269.73	3035.2	6046.8
286	25    	4029.52	2851.2	5748.4
287	25    	4078.98	2917.6	6048.8
288	25    	4097.14	2866  	5694.4
289	25    	4131.17	2816.4	5638  
290	25    	3885.82	2628.4	5184.8
291	25    	3904.98	2722.4	5051.2
292	25    	4377.41	2764.4	6212.4
293	25    	3902.08	2229.2	5294.4
294	25    	4055.81	2865.6	5628.4
295	25    	3932.13	2670.8	5302.8
296	25    	4198.86	3012  	6133.6
297	25    	3737.25	2448.4	5088.4
298	25    	4073.5 	2702.4	6752.8
299	25    	4240.46	3004.8	6475.6
300	25    	4188.83	2894  	6586.4
301	25    	4131.41	2966.4	5304.4
302	25    	4156.22	3102.4	5914  
303	25    	4033.74	2518.8	5749.2
304	25    	4177.58	2921.2	5256.8
305	25    	4193.25	2939.6	5934  
306	25    	3930.83	2626.8	5460.8
307	25    	4078.59	2908.8	5494.4
308	25    	4005.86	2268.8	4944  
309	25    	4283.78	3168  	6184.8
310	25    	4247.68	2888.4	5472.8
311	25    	3897.15	2458  	5292.4
312	25    	4014   	2774.4	5185.6
313	25    	3943.07	2596.8	5205.6
314	25    	4251.09	3034.8	5392.4
315	25    	4283.86	2828  	5722.8
316	25    	4250.1 	3138.4	5606  
317	25    	3872.67	2492  	5407.2
318	25    	4027.36	3174  	5078.8
319	25    	4140.54	2815.2	5106.4
320	25    	3984.99	3005.6	5616.4
321	25    	4161.22	3123.6	5593.6
322	25    	4177.17	2395.2	6056.8
323	25    	4168.16	2908.8	5442  
324	25    	4159.04	3185.6	5076  
325	25    	4346.43	2910.8	5253.2
326	25    	4044.78	3209.6	5340  
327	25    	3740.72	2742.4	4772.8
328	25    	4092.34	3024.8	5026  
329	25    	4108.67	2964.8	5534  
330	25    	4085.71	3282  	5854.8
331	25    	4047.68	2667.6	5663.6
332	25    	4183.9 	2760.8	6498.4
333	25    	4374.11	3162.8	6084.4
334	25    	4148.29	3081.6	5300.4
335	25    	4127.38	2142.4	5823.6
336	25    	3741.81	2940  	5002.4
337	25    	4110.91	2858  	4844.4
338	25    	3827.82	2754.8	4895.2
339	25    	3910.96	2688  	5190.8
340	25    	4071.55	2858.4	5175.2
341	25    	3896.37	2555.6	5558  
342	25    	3830.02	2669.6	5590.8
343	25    	4491.14	3030  	6051.6
344	25    	4118.96	3057.2	5273.6
345	25    	4031.58	3033.2	5578.4
346	25    	4102.1 	2740.8	5229.2
347	25    	4345.07	2943.6	5850.8
348	25    	4334.77	3339.2	5628.4
349	25    	4260.91	2606.8	5726.8
350	25    	4145.04	3227.6	6167.2
351	25    	4242.21	3213.6	6156  
352	25    	4296.99	2999.2	6196  
353	25    	4074.7 	2728.8	5735.6
354	25    	3868.19	2837.2	5421.2
355	25    	4130.14	2571.2	5565.6
356	25    	4153.44	2766.4	6172.4
357	25    	4336.61	3019.2	5486.8
358	25    	4134.46	2898.8	5021.2
359	25    	4120.29	3088.8	6064.4
360	25    	4061.57	2897.2	5342.4
361	25    	4010.19	2480  	5691.6
362	25    	3967.06	2898.8	4941.6
363	25    	4249.92	3099.2	6317.6
364	25    	3962.42	3014.8	5635.6
365	25    	4262.56	2952.8	6172.4
366	25    	4409.28	3166.4	6003.6
367	25    	4272.48	2586.8	6210  
368	25    	4413.47	2906.4	6240.8
369	25    	4607.47	3026.8	6204  
370	25    	4188.58	2818.8	5488.4
371	25    	4372.86	3445.6	5344.4
372	25    	4204.67	2947.6	5356.4
373	25    	4022.34	3090  	5732  
374	25    	4164.72	3024  	5605.2
375	25    	4309.39	2984.8	6666  
376	25    	4215.76	3077.2	6292.4
377	25    	4198.29	3169.2	6802.4
378	25    	4217.39	3199.2	5818  
379	25    	4429.25	3057.6	6884.4
380	25    	4118.75	2730.4	5118.8
381	25    	4235.54	2742.4	6422.4
382	25    	4098.42	3166.8	5196.8
383	25    	4194.08	2476.4	6397.6
384	25    	4151.23	2805.2	6136.4
385	25    	4067.79	2405.2	5520.4
386	25    	4139.97	3020  	6033.6
387	25    	3855.38	2298.4	5288  
388	25    	4111.12	2922.8	6070.4
389	25    	4285.65	2636.8	6189.2
390	25    	4198.18	2928  	5974.8
391	25    	4270.86	3210.8	5447.6
392	25    	4486.08	3485.2	6941.2
393	25    	4190.64	3015.6	5200.8
394	25    	4300.35	3335.6	5852.8
395	25    	4724.06	3545.6	6670.8
396	25    	4364.82	2995.2	5222  
397	25    	3777.71	2635.6	5300  
398	25    	4080.67	2913.2	5659.2
