gen	nevals	avg    	min  	max  
0  	25    	86.584 	58.4 	115.6
1  	25    	95.496 	57   	117.2
2  	25    	102.48 	73.8 	126.8
3  	25    	111.912	87.6 	135.6
4  	25    	111.648	79.4 	130  
5  	25    	118.696	98.2 	134.6
6  	25    	121.24 	87.6 	142.2
7  	25    	116.144	99.2 	134.2
8  	25    	118.704	92.6 	132  
9  	25    	122.288	107.6	136  
10 	25    	122.432	94.8 	144.6
11 	25    	121.936	100.4	137.6
12 	25    	119.448	90.4 	140.4
13 	25    	120.848	106  	142.4
14 	25    	121.552	105.8	140.8
15 	25    	121.904	111.4	133.8
16 	25    	124.04 	104.4	136.6
17 	25    	121.32 	89.2 	150.6
18 	25    	122.808	110.8	137  
19 	25    	125.816	110.8	138  
20 	25    	125.776	110.8	136.8
21 	25    	122.84 	102.2	141.8
22 	25    	126.504	108.2	140  
23 	25    	128.232	109.8	142.8
24 	25    	125.888	105  	140.6
25 	25    	126.56 	113  	142.4
26 	25    	122.496	105.4	137.6
27 	25    	123.176	110.4	140.8
28 	25    	126.808	110  	143.2
29 	25    	126.488	111.2	149.6
30 	25    	123.464	110.2	140.2
31 	25    	125.512	104.2	135.6
32 	25    	124.12 	110.4	136.6
33 	25    	123.76 	110.8	136.2
34 	25    	127.864	110.8	135.2
35 	25    	124.288	109.4	151.4
36 	25    	121.824	109.4	136  
37 	25    	124.632	112.6	131.6
38 	25    	125.376	109.2	141.8
39 	25    	123.288	109.6	133.4
40 	25    	125.096	109.4	139.6
41 	25    	125.744	112.4	143  
42 	25    	125.912	110.2	138.2
43 	25    	124.264	110.8	138.6
44 	25    	127.072	110.6	138.2
45 	25    	125.752	110  	143.8
46 	25    	125.824	112.2	140.2
47 	25    	126.096	114  	143.4
48 	25    	124.272	104.6	136.2
49 	25    	124.488	109.6	143.8
50 	25    	123.952	107.4	138.2
51 	25    	126.304	112.6	146.2
52 	25    	125.304	112.8	145  
53 	25    	126.928	94.6 	148.6
54 	25    	125.232	111.8	139.6
55 	25    	126.44 	111.8	148.6
56 	25    	126.04 	106.8	144.6
57 	25    	127.44 	116  	148.8
58 	25    	126.576	111  	141.2
59 	25    	124.904	104.4	137.2
60 	25    	127.264	116.6	142.4
61 	25    	125.76 	97.6 	145.4
62 	25    	125    	107.6	144.2
63 	25    	125.832	111  	135  
64 	25    	125.712	103.2	139  
65 	25    	124.392	110.2	134.8
66 	25    	124.6  	113.8	135.8
67 	25    	126.048	115  	139  
68 	25    	124.408	112.4	138.8
69 	25    	124.624	110.6	139.2
70 	25    	124.616	104  	139.2
71 	25    	125.536	112.6	141.4
72 	25    	125.064	99   	137  
73 	25    	123.624	103  	140.6
74 	25    	124.352	104  	141.6
75 	25    	124.904	114.8	139.2
76 	25    	122.776	106.2	136.2
77 	25    	120.752	100.4	142  
78 	25    	124.968	113.6	138.6
79 	25    	127.168	114.4	145  
80 	25    	121.76 	89.8 	144.8
81 	25    	124.152	109.4	144.2
82 	25    	124.264	107  	135  
83 	25    	123.496	82.4 	139.4
84 	25    	124.392	88.2 	139  
85 	25    	128.592	119.6	140.4
86 	25    	125.696	110.6	141.6
87 	25    	126.032	109  	139.8
88 	25    	124.592	111.6	136.8
89 	25    	124.464	112.6	138  
90 	25    	126.048	109.8	146.4
91 	25    	125.616	111  	140.2
92 	25    	123.952	110.8	145.2
93 	25    	124.616	112.4	137.4
94 	25    	124.096	104  	138  
95 	25    	123.696	111.2	142.2
96 	25    	126.872	115.8	140  
97 	25    	125.52 	111.8	137.6
98 	25    	122.4  	107.8	139.2
99 	25    	126.704	110.6	142.2
100	25    	127.984	103.4	143.2
101	25    	126.76 	118.6	143  
102	25    	123.08 	111  	135.4
103	25    	127.056	111.2	142  
104	25    	126    	107  	140.6
105	25    	128.976	117.6	144.6
106	25    	126.12 	100.2	141.6
107	25    	129.032	119.4	140.8
108	25    	125.088	95   	138.8
109	25    	126.712	108.4	142.2
110	25    	127.728	106.8	148  
111	25    	127.288	113.8	138  
112	25    	127.104	104.2	141.6
113	25    	125.048	108.4	136.8
114	25    	127.816	114.6	141  
115	25    	127.864	117.2	140.2
116	25    	128.624	113.8	150  
117	25    	125    	108.6	143  
118	25    	125.44 	104.8	147  
119	25    	126.472	107.2	147  
120	25    	126.168	112  	149  
121	25    	124.296	108  	140.2
122	25    	124.728	108  	143.8
123	25    	120.088	104.2	138  
124	25    	127.04 	116.2	145  
125	25    	125.608	111  	137.4
126	25    	127.32 	114.6	136.2
127	25    	127.976	115  	138.2
128	25    	124.888	108.2	141.8
129	25    	126.976	110.2	138.4
130	25    	123.456	97.6 	134.8
131	25    	125.776	112.8	140.4
132	25    	123.704	110.2	141.2
133	25    	124.88 	107.6	148  
134	25    	127.072	114.4	149.6
135	25    	126.424	111.8	134.4
