gen	nevals	avg      	min       	max      
0  	25    	0.0147292	0         	0.0713542
1  	25    	0.0199792	0.00104167	0.0713542
2  	25    	0.0247604	0.00182292	0.0789063
3  	25    	0.0315521	0.00338542	0.108854 
4  	25    	0.0518438	0.00598958	0.149219 
5  	25    	0.0608125	0.0153646 	0.149219 
6  	25    	0.0686667	0.0153646 	0.149219 
7  	25    	0.0694896	0.0153646 	0.149219 
8  	25    	0.0752083	0.0195312 	0.149219 
9  	25    	0.0897396	0.0195312 	0.278646 
10 	25    	0.0968021	0.0447917 	0.278646 
11 	25    	0.103635 	0.0447917 	0.278646 
12 	25    	0.113385 	0.0476562 	0.278646 
13 	25    	0.119    	0.0476562 	0.278646 
14 	25    	0.119615 	0.0476562 	0.278646 
15 	25    	0.121146 	0.0476562 	0.278646 
16 	25    	0.125156 	0.0484375 	0.278646 
17 	25    	0.142375 	0.0484375 	0.3      
18 	25    	0.159292 	0.0484375 	0.521354 
19 	25    	0.188531 	0.0484375 	0.682031 
20 	25    	0.227802 	0.08125   	0.682031 
21 	25    	0.269823 	0.08125   	0.682031 
22 	25    	0.310906 	0.08125   	0.682031 
23 	25    	0.318427 	0.08125   	0.682031 
24 	25    	0.342031 	0.08125   	0.682031 
25 	25    	0.363854 	0.084375  	0.682031 
26 	25    	0.365146 	0.084375  	0.682031 
27 	25    	0.383698 	0.084375  	0.682031 
28 	25    	0.393    	0.0895833 	0.682031 
29 	25    	0.393437 	0.0895833 	0.682031 
30 	25    	0.404271 	0.0895833 	0.728906 
31 	25    	0.411323 	0.0895833 	0.728906 
32 	25    	0.440625 	0.0895833 	0.728906 
33 	25    	0.458396 	0.135937  	0.728906 
34 	25    	0.460292 	0.135937  	0.728906 
35 	25    	0.484771 	0.135937  	0.728906 
36 	25    	0.49925  	0.135937  	0.728906 
37 	25    	0.501271 	0.135937  	0.728906 
38 	25    	0.526635 	0.152604  	0.794271 
39 	25    	0.552354 	0.152865  	0.794271 
40 	25    	0.552354 	0.152865  	0.794271 
41 	25    	0.555646 	0.152865  	0.794271 
42 	25    	0.556156 	0.152865  	0.794271 
43 	25    	0.561583 	0.152865  	0.794271 
44 	25    	0.5735   	0.152865  	0.794271 
45 	25    	0.574646 	0.152865  	0.794271 
46 	25    	0.574646 	0.152865  	0.794271 
47 	25    	0.576052 	0.18125   	0.794271 
48 	25    	0.593833 	0.310677  	0.794271 
49 	25    	0.597438 	0.310677  	0.794271 
50 	25    	0.605281 	0.310677  	0.794271 
51 	25    	0.605281 	0.310677  	0.794271 
52 	25    	0.613792 	0.310677  	0.794271 
53 	25    	0.616563 	0.310677  	0.794271 
54 	25    	0.629229 	0.310677  	0.794271 
55 	25    	0.638531 	0.310677  	0.794271 
56 	25    	0.647302 	0.310677  	0.82474  
57 	25    	0.653625 	0.396094  	0.82474  
58 	25    	0.655917 	0.396094  	0.82474  
59 	25    	0.658448 	0.396094  	0.82474  
60 	25    	0.658906 	0.396094  	0.835677 
61 	25    	0.670896 	0.396094  	0.835677 
62 	25    	0.683573 	0.510677  	0.860156 
63 	25    	0.683573 	0.510677  	0.860156 
64 	25    	0.687271 	0.510677  	0.860156 
65 	25    	0.687635 	0.510677  	0.869271 
66 	25    	0.69775  	0.510677  	0.869271 
67 	25    	0.710063 	0.510677  	0.869271 
68 	25    	0.712708 	0.510677  	0.869271 
69 	25    	0.719969 	0.510677  	0.869271 
70 	25    	0.722865 	0.510677  	0.869271 
71 	25    	0.722865 	0.510677  	0.869271 
72 	25    	0.73025  	0.510677  	0.869271 
73 	25    	0.742323 	0.510677  	0.922656 
74 	25    	0.746802 	0.510677  	0.922656 
75 	25    	0.747948 	0.510677  	0.922656 
76 	25    	0.74924  	0.510677  	0.922656 
77 	25    	0.74924  	0.510677  	0.922656 
78 	25    	0.750083 	0.510677  	0.922656 
79 	25    	0.753698 	0.510677  	0.922656 
80 	25    	0.753698 	0.510677  	0.922656 
81 	25    	0.756542 	0.510677  	0.922656 
82 	25    	0.759167 	0.510677  	0.922656 
83 	25    	0.759167 	0.510677  	0.922656 
84 	25    	0.767563 	0.513021  	0.922656 
85 	25    	0.769865 	0.513021  	0.922656 
86 	25    	0.769865 	0.513021  	0.922656 
87 	25    	0.770563 	0.513021  	0.922656 
88 	25    	0.774469 	0.513021  	0.922656 
89 	25    	0.781177 	0.513021  	0.922656 
90 	25    	0.784146 	0.513021  	0.922656 
91 	25    	0.788521 	0.513021  	0.922656 
92 	25    	0.791656 	0.513021  	0.922656 
93 	25    	0.791937 	0.513021  	0.922656 
94 	25    	0.792135 	0.513021  	0.922656 
95 	25    	0.792135 	0.513021  	0.922656 
96 	25    	0.792135 	0.513021  	0.922656 
97 	25    	0.792135 	0.513021  	0.922656 
98 	25    	0.796271 	0.513021  	0.922656 
99 	25    	0.798656 	0.513021  	0.922656 
100	25    	0.798656 	0.513021  	0.922656 
101	25    	0.801646 	0.513021  	0.947135 
102	25    	0.806281 	0.513021  	0.947135 
103	25    	0.806281 	0.513021  	0.947135 
104	25    	0.806281 	0.513021  	0.947135 
105	25    	0.806292 	0.513021  	0.947135 
106	25    	0.81099  	0.513021  	0.947135 
107	25    	0.81401  	0.513021  	0.947135 
108	25    	0.819781 	0.513021  	0.947135 
109	25    	0.819781 	0.513021  	0.947135 
110	25    	0.831646 	0.71849   	0.947135 
111	25    	0.831646 	0.71849   	0.947135 
112	25    	0.837385 	0.723437  	0.947135 
113	25    	0.839177 	0.723437  	0.947135 
114	25    	0.839177 	0.723437  	0.947135 
115	25    	0.839438 	0.723437  	0.947135 
116	25    	0.839438 	0.723437  	0.947135 
117	25    	0.839438 	0.723437  	0.947135 
118	25    	0.839438 	0.723437  	0.947135 
119	25    	0.84099  	0.723437  	0.947135 
120	25    	0.847427 	0.742188  	0.947135 
121	25    	0.847427 	0.742188  	0.947135 
122	25    	0.847427 	0.742188  	0.947135 
123	25    	0.847427 	0.742188  	0.947135 
124	25    	0.851583 	0.742188  	0.947135 
125	25    	0.851583 	0.742188  	0.947135 
126	25    	0.851583 	0.742188  	0.947135 
127	25    	0.851854 	0.748958  	0.947135 
128	25    	0.851854 	0.748958  	0.947135 
129	25    	0.853115 	0.748958  	0.947135 
130	25    	0.853115 	0.748958  	0.947135 
131	25    	0.853115 	0.748958  	0.947135 
132	25    	0.853115 	0.748958  	0.947135 
133	25    	0.854083 	0.748958  	0.947135 
134	25    	0.854083 	0.748958  	0.947135 
135	25    	0.854083 	0.748958  	0.947135 
136	25    	0.854104 	0.748958  	0.947135 
137	25    	0.855313 	0.748958  	0.947135 
138	25    	0.855313 	0.748958  	0.947135 
139	25    	0.855313 	0.748958  	0.947135 
140	25    	0.855313 	0.748958  	0.947135 
141	25    	0.856542 	0.748958  	0.947135 
142	25    	0.858875 	0.748958  	0.947135 
143	25    	0.858875 	0.748958  	0.947135 
144	25    	0.858875 	0.748958  	0.947135 
145	25    	0.858875 	0.748958  	0.947135 
146	25    	0.858875 	0.748958  	0.947135 
147	25    	0.858875 	0.748958  	0.947135 
148	25    	0.858875 	0.748958  	0.947135 
149	25    	0.858875 	0.748958  	0.947135 
150	25    	0.858875 	0.748958  	0.947135 
151	25    	0.85926  	0.748958  	0.947135 
152	25    	0.861667 	0.748958  	0.947135 
153	25    	0.863135 	0.778125  	0.947135 
154	25    	0.863135 	0.778125  	0.947135 
155	25    	0.863219 	0.778125  	0.947135 
156	25    	0.863219 	0.778125  	0.947135 
157	25    	0.864948 	0.778125  	0.947135 
158	25    	0.865865 	0.778125  	0.947135 
159	25    	0.865865 	0.778125  	0.947135 
160	25    	0.865865 	0.778125  	0.947135 
161	25    	0.86899  	0.778125  	0.947135 
162	25    	0.86899  	0.778125  	0.947135 
163	25    	0.86899  	0.778125  	0.947135 
164	25    	0.86899  	0.778125  	0.947135 
165	25    	0.86899  	0.778125  	0.947135 
166	25    	0.86899  	0.778125  	0.947135 
167	25    	0.86899  	0.778125  	0.947135 
168	25    	0.86899  	0.778125  	0.947135 
169	25    	0.86899  	0.778125  	0.947135 
170	25    	0.86899  	0.778125  	0.947135 
171	25    	0.86899  	0.778125  	0.947135 
172	25    	0.86899  	0.778125  	0.947135 
173	25    	0.86899  	0.778125  	0.947135 
174	25    	0.86899  	0.778125  	0.947135 
175	25    	0.86899  	0.778125  	0.947135 
176	25    	0.869698 	0.778125  	0.947135 
177	25    	0.870125 	0.778125  	0.947135 
178	25    	0.870125 	0.778125  	0.947135 
179	25    	0.872635 	0.778125  	0.947135 
180	25    	0.874656 	0.778125  	0.947135 
181	25    	0.877479 	0.778125  	0.947135 
182	25    	0.877479 	0.778125  	0.947135 
183	25    	0.878865 	0.778125  	0.947135 
184	25    	0.878865 	0.778125  	0.947135 
185	25    	0.879708 	0.778125  	0.947135 
186	25    	0.879708 	0.778125  	0.947135 
187	25    	0.879708 	0.778125  	0.947135 
188	25    	0.879708 	0.778125  	0.947135 
189	25    	0.881604 	0.778125  	0.95026  
190	25    	0.881604 	0.778125  	0.95026  
191	25    	0.881604 	0.778125  	0.95026  
192	25    	0.882052 	0.778125  	0.95026  
193	25    	0.883958 	0.778125  	0.95026  
194	25    	0.88549  	0.778125  	0.95026  
195	25    	0.88549  	0.778125  	0.95026  
196	25    	0.887385 	0.778125  	0.95026  
197	25    	0.887385 	0.778125  	0.95026  
198	25    	0.887385 	0.778125  	0.95026  
199	25    	0.887385 	0.778125  	0.95026  
200	25    	0.888333 	0.778125  	0.953646 
201	25    	0.888333 	0.778125  	0.953646 
202	25    	0.888333 	0.778125  	0.953646 
203	25    	0.888333 	0.778125  	0.953646 
204	25    	0.888333 	0.778125  	0.953646 
205	25    	0.888333 	0.778125  	0.953646 
206	25    	0.888333 	0.778125  	0.953646 
207	25    	0.888333 	0.778125  	0.953646 
208	25    	0.889198 	0.778125  	0.953646 
209	25    	0.889198 	0.778125  	0.953646 
210	25    	0.889198 	0.778125  	0.953646 
211	25    	0.889198 	0.778125  	0.953646 
212	25    	0.890115 	0.778125  	0.953646 
213	25    	0.890115 	0.778125  	0.953646 
214	25    	0.890115 	0.778125  	0.953646 
215	25    	0.890115 	0.778125  	0.953646 
216	25    	0.891562 	0.778125  	0.953646 
217	25    	0.891562 	0.778125  	0.953646 
218	25    	0.891562 	0.778125  	0.953646 
219	25    	0.891562 	0.778125  	0.953646 
220	25    	0.891562 	0.778125  	0.953646 
