gen	nevals	avg      	min      	max     
0  	25    	0.0199167	0        	0.227344
1  	25    	0.0348958	0.003125 	0.227344
2  	25    	0.0406354	0.003125 	0.227344
3  	25    	0.0482292	0.0078125	0.227344
4  	25    	0.0601458	0.0078125	0.227344
5  	25    	0.0681667	0.0078125	0.227344
6  	25    	0.0821042	0.0309896	0.227344
7  	25    	0.0885625	0.0309896	0.227344
8  	25    	0.0961771	0.0309896	0.227344
9  	25    	0.101083 	0.0333333	0.227344
10 	25    	0.119906 	0.0523437	0.460938
11 	25    	0.128719 	0.0528646	0.460938
12 	25    	0.132021 	0.0528646	0.460938
13 	25    	0.133771 	0.0627604	0.460938
14 	25    	0.134115 	0.0664062	0.460938
15 	25    	0.136531 	0.0671875	0.460938
16 	25    	0.141896 	0.0671875	0.460938
17 	25    	0.144979 	0.0671875	0.460938
18 	25    	0.155948 	0.0671875	0.460938
19 	25    	0.164208 	0.0671875	0.460938
20 	25    	0.172344 	0.0671875	0.460938
21 	25    	0.179052 	0.0671875	0.460938
22 	25    	0.18874  	0.0684896	0.460938
23 	25    	0.203604 	0.0684896	0.646354
24 	25    	0.212635 	0.0979167	0.646354
25 	25    	0.217594 	0.101042 	0.646354
26 	25    	0.222531 	0.101042 	0.719271
27 	25    	0.237698 	0.10625  	0.719271
28 	25    	0.238417 	0.10625  	0.719271
29 	25    	0.265375 	0.10625  	0.719271
30 	25    	0.279417 	0.10625  	0.719271
31 	25    	0.283042 	0.10625  	0.719271
32 	25    	0.315448 	0.10625  	0.847656
33 	25    	0.340708 	0.10625  	0.847656
34 	25    	0.340708 	0.10625  	0.847656
35 	25    	0.347594 	0.10625  	0.847656
36 	25    	0.364604 	0.10625  	0.847656
37 	25    	0.375313 	0.10625  	0.847656
38 	25    	0.384604 	0.10625  	0.847656
39 	25    	0.392406 	0.10625  	0.847656
40 	25    	0.395281 	0.10625  	0.847656
41 	25    	0.407177 	0.10625  	0.847656
42 	25    	0.418042 	0.10625  	0.847656
43 	25    	0.423146 	0.10625  	0.847656
44 	25    	0.432479 	0.10625  	0.847656
45 	25    	0.439375 	0.10625  	0.847656
46 	25    	0.445125 	0.10625  	0.847656
47 	25    	0.46125  	0.10625  	0.847656
48 	25    	0.481896 	0.10625  	0.847656
49 	25    	0.485104 	0.145052 	0.847656
50 	25    	0.49049  	0.145052 	0.847656
51 	25    	0.507958 	0.145052 	0.847656
52 	25    	0.511208 	0.145052 	0.847656
53 	25    	0.514552 	0.145052 	0.847656
54 	25    	0.517823 	0.145052 	0.847656
55 	25    	0.521094 	0.145052 	0.847656
56 	25    	0.530552 	0.145052 	0.847656
57 	25    	0.530719 	0.145052 	0.847656
58 	25    	0.536844 	0.145052 	0.878125
59 	25    	0.544719 	0.145052 	0.878125
60 	25    	0.54776  	0.145052 	0.878125
61 	25    	0.567646 	0.145052 	0.878125
62 	25    	0.580802 	0.145052 	0.878125
63 	25    	0.600771 	0.145052 	0.878125
64 	25    	0.61949  	0.145052 	0.878125
65 	25    	0.621458 	0.145052 	0.878125
66 	25    	0.626198 	0.145052 	0.878125
67 	25    	0.639813 	0.145052 	0.878125
68 	25    	0.651292 	0.215365 	0.878125
69 	25    	0.657969 	0.215365 	0.878125
70 	25    	0.657979 	0.215365 	0.878125
71 	25    	0.658792 	0.215365 	0.878125
72 	25    	0.673125 	0.215365 	0.878125
73 	25    	0.686781 	0.30625  	0.878125
74 	25    	0.691844 	0.30625  	0.878125
75 	25    	0.693438 	0.30625  	0.891667
76 	25    	0.693438 	0.30625  	0.891667
77 	25    	0.696302 	0.30625  	0.891667
78 	25    	0.704802 	0.30625  	0.891667
79 	25    	0.714042 	0.30625  	0.891667
80 	25    	0.716698 	0.30625  	0.891667
81 	25    	0.720521 	0.30625  	0.922917
82 	25    	0.720521 	0.30625  	0.922917
83 	25    	0.720521 	0.30625  	0.922917
84 	25    	0.721615 	0.310156 	0.922917
85 	25    	0.721615 	0.310156 	0.922917
86 	25    	0.73149  	0.420312 	0.922917
87 	25    	0.73149  	0.420312 	0.922917
88 	25    	0.745469 	0.420312 	0.922917
89 	25    	0.750885 	0.420312 	0.922917
90 	25    	0.750885 	0.420312 	0.922917
91 	25    	0.756854 	0.420312 	0.922917
92 	25    	0.756854 	0.420312 	0.922917
93 	25    	0.763667 	0.420312 	0.922917
94 	25    	0.767375 	0.420312 	0.922917
95 	25    	0.767375 	0.420312 	0.922917
96 	25    	0.769531 	0.420312 	0.922917
