gen	nevals	avg      	min        	max      
0  	25    	0.0201458	0.000520833	0.0653646
1  	25    	0.0242708	0.00234375 	0.0653646
2  	25    	0.0313125	0.003125   	0.0726563
3  	25    	0.0409062	0.00572917 	0.136979 
4  	25    	0.0444479	0.00572917 	0.136979 
5  	25    	0.0475729	0.00755208 	0.136979 
6  	25    	0.0526354	0.00807292 	0.136979 
7  	25    	0.0568958	0.0130208  	0.136979 
8  	25    	0.0653229	0.0130208  	0.136979 
9  	25    	0.0706354	0.0299479  	0.136979 
10 	25    	0.0766667	0.0299479  	0.136979 
11 	25    	0.0855104	0.0299479  	0.265365 
12 	25    	0.0934062	0.0299479  	0.265365 
13 	25    	0.103917 	0.0299479  	0.353385 
14 	25    	0.1285   	0.0395833  	0.513281 
15 	25    	0.12974  	0.0395833  	0.513281 
16 	25    	0.131719 	0.040625   	0.513281 
17 	25    	0.139625 	0.046875   	0.513281 
18 	25    	0.14051  	0.0588542  	0.513281 
19 	25    	0.155729 	0.0591146  	0.513281 
20 	25    	0.158479 	0.0591146  	0.513281 
21 	25    	0.162698 	0.0591146  	0.513281 
22 	25    	0.172354 	0.0778646  	0.513281 
23 	25    	0.185812 	0.0786458  	0.513281 
24 	25    	0.196885 	0.0786458  	0.602344 
25 	25    	0.204104 	0.0786458  	0.602344 
26 	25    	0.206271 	0.0916667  	0.602344 
27 	25    	0.210865 	0.0916667  	0.602344 
28 	25    	0.215594 	0.0916667  	0.602344 
29 	25    	0.223031 	0.0916667  	0.602344 
30 	25    	0.238052 	0.0932292  	0.602344 
31 	25    	0.258156 	0.0932292  	0.691406 
32 	25    	0.269917 	0.0932292  	0.691406 
33 	25    	0.272375 	0.101042   	0.691406 
34 	25    	0.274406 	0.101042   	0.691406 
35 	25    	0.299406 	0.101042   	0.691406 
36 	25    	0.314062 	0.101042   	0.691406 
37 	25    	0.32025  	0.101042   	0.691406 
38 	25    	0.332406 	0.111458   	0.691406 
39 	25    	0.35076  	0.111458   	0.691406 
40 	25    	0.350927 	0.111458   	0.691406 
41 	25    	0.37425  	0.111458   	0.776042 
42 	25    	0.383521 	0.113281   	0.776042 
43 	25    	0.383521 	0.113281   	0.776042 
44 	25    	0.394187 	0.113281   	0.836979 
45 	25    	0.403958 	0.113281   	0.836979 
46 	25    	0.410094 	0.113281   	0.836979 
47 	25    	0.421625 	0.113281   	0.836979 
48 	25    	0.443625 	0.113281   	0.836979 
49 	25    	0.474177 	0.113281   	0.890365 
50 	25    	0.481698 	0.113281   	0.890365 
51 	25    	0.491958 	0.113281   	0.890365 
52 	25    	0.491958 	0.113281   	0.890365 
53 	25    	0.491958 	0.113281   	0.890365 
54 	25    	0.500885 	0.113281   	0.890365 
55 	25    	0.519323 	0.21901    	0.890365 
56 	25    	0.519323 	0.21901    	0.890365 
57 	25    	0.528823 	0.21901    	0.890365 
58 	25    	0.532271 	0.21901    	0.890365 
59 	25    	0.536104 	0.21901    	0.890365 
60 	25    	0.538396 	0.21901    	0.890365 
61 	25    	0.538396 	0.21901    	0.890365 
62 	25    	0.539427 	0.21901    	0.890365 
63 	25    	0.561125 	0.21901    	0.890365 
64 	25    	0.566177 	0.21901    	0.890365 
65 	25    	0.570979 	0.21901    	0.890365 
66 	25    	0.570979 	0.21901    	0.890365 
67 	25    	0.570979 	0.21901    	0.890365 
68 	25    	0.586146 	0.21901    	0.890365 
69 	25    	0.586146 	0.21901    	0.890365 
70 	25    	0.592917 	0.21901    	0.890365 
71 	25    	0.592917 	0.21901    	0.890365 
