gen	nevals	avg      	min      	max     
1  	25    	0.0187188	0        	0.075   
2  	25    	0.0411875	0        	0.117188
3  	25    	0.0765625	0.025    	0.142188
4  	25    	0.0848437	0.0351562	0.139062
5  	25    	0.0832813	0.0328125	0.146094
6  	25    	0.101937 	0.053125 	0.180469
7  	25    	0.107781 	0.06875  	0.164844
8  	25    	0.125219 	0.046875 	0.249219
9  	25    	0.155187 	0.040625 	0.313281
10 	25    	0.17075  	0.0976562	0.270312
11 	25    	0.181187 	0.0984375	0.305469
12 	25    	0.212063 	0.104687 	0.347656
13 	25    	0.211062 	0.0671875	0.321094
14 	25    	0.207313 	0.0726563	0.303906
15 	25    	0.209438 	0.0390625	0.361719
16 	25    	0.219594 	0.0585938	0.369531
17 	25    	0.240812 	0.0890625	0.415625
18 	25    	0.223844 	0.114844 	0.346875
19 	25    	0.247656 	0.120312 	0.400781
20 	25    	0.268594 	0.1875   	0.482031
21 	25    	0.264344 	0.119531 	0.420312
22 	25    	0.244875 	0.128125 	0.442969
23 	25    	0.284844 	0.171094 	0.390625
24 	25    	0.257438 	0.142969 	0.370313
25 	25    	0.285344 	0.174219 	0.445312
26 	25    	0.277625 	0.174219 	0.424219
27 	25    	0.267813 	0.172656 	0.350781
28 	25    	0.255625 	0.136719 	0.416406
29 	25    	0.267344 	0.16875  	0.360156
30 	25    	0.281187 	0.19375  	0.421094
31 	25    	0.280906 	0.2      	0.396875
32 	25    	0.285125 	0.208594 	0.392188
33 	25    	0.249531 	0.132812 	0.346875
34 	25    	0.275187 	0.130469 	0.455469
35 	25    	0.276969 	0.125781 	0.403906
36 	25    	0.257375 	0.176563 	0.392969
37 	25    	0.264937 	0.142188 	0.410937
38 	25    	0.280781 	0.1625   	0.441406
39 	25    	0.290125 	0.182031 	0.422656
40 	25    	0.280906 	0.160938 	0.432031
41 	25    	0.272125 	0.157813 	0.403125
42 	25    	0.264844 	0.167969 	0.441406
43 	25    	0.28225  	0.178125 	0.378125
44 	25    	0.2795   	0.169531 	0.453125
45 	25    	0.256719 	0.14375  	0.350781
46 	25    	0.281844 	0.171094 	0.377344
47 	25    	0.305656 	0.192188 	0.425   
48 	25    	0.303594 	0.178906 	0.463281
49 	25    	0.297531 	0.191406 	0.383594
50 	25    	0.286781 	0.149219 	0.473437
51 	25    	0.282469 	0.128125 	0.395312
52 	25    	0.292844 	0.198437 	0.4     
53 	25    	0.28125  	0.154687 	0.485156
54 	25    	0.286937 	0.192188 	0.439063
55 	25    	0.301594 	0.186719 	0.439063
56 	25    	0.275937 	0.0835937	0.479688
57 	25    	0.283844 	0.188281 	0.391406
58 	25    	0.279156 	0.160156 	0.417969
59 	25    	0.267281 	0.146094 	0.400781
60 	25    	0.289    	0.153906 	0.4     
61 	25    	0.31725  	0.195312 	0.457812
62 	25    	0.272125 	0.2125   	0.357812
63 	25    	0.273437 	0.192188 	0.376563
64 	25    	0.262594 	0.182812 	0.391406
65 	25    	0.291031 	0.139844 	0.46875 
66 	25    	0.307906 	0.132031 	0.498437
