gen	nevals	avg      	min       	max     
1  	25    	0.0240938	0         	0.115625
2  	25    	0.0602188	0         	0.128906
3  	25    	0.0843125	0.00703125	0.164844
4  	25    	0.11275  	0.053125  	0.232812
5  	25    	0.120656 	0         	0.195312
6  	25    	0.158906 	0.078125  	0.233594
7  	25    	0.145812 	0.0367187 	0.264062
8  	25    	0.151406 	0.0335938 	0.257031
9  	25    	0.165    	0.0804688 	0.239844
10 	25    	0.189563 	0.0960938 	0.289062
11 	25    	0.174844 	0.103906  	0.244531
12 	25    	0.185187 	0.0976562 	0.298438
13 	25    	0.182844 	0.0835937 	0.253125
14 	25    	0.192906 	0.078125  	0.300781
15 	25    	0.198156 	0.13125   	0.340625
16 	25    	0.211344 	0.108594  	0.303125
17 	25    	0.211062 	0.128125  	0.304688
18 	25    	0.208938 	0.125     	0.275781
19 	25    	0.201    	0.116406  	0.249219
20 	25    	0.20625  	0.115625  	0.326562
21 	25    	0.211438 	0.122656  	0.333594
22 	25    	0.229125 	0.102344  	0.355469
23 	25    	0.230625 	0.13125   	0.342187
24 	25    	0.224031 	0.157813  	0.428125
25 	25    	0.22025  	0.144531  	0.377344
26 	25    	0.240875 	0.138281  	0.352344
27 	25    	0.228    	0.1375    	0.329688
28 	25    	0.230438 	0.16875   	0.291406
29 	25    	0.217063 	0.125781  	0.291406
30 	25    	0.206469 	0.113281  	0.283594
31 	25    	0.234594 	0.151562  	0.346875
32 	25    	0.223812 	0.135156  	0.341406
33 	25    	0.237469 	0.146875  	0.314063
34 	25    	0.241594 	0.1375    	0.33125 
35 	25    	0.23925  	0.126563  	0.357031
36 	25    	0.219594 	0.153906  	0.310156
37 	25    	0.233813 	0.142188  	0.365625
38 	25    	0.228813 	0.130469  	0.342969
39 	25    	0.212219 	0.128125  	0.292188
40 	25    	0.236188 	0.167187  	0.309375
41 	25    	0.250437 	0.178906  	0.360156
42 	25    	0.235188 	0.146875  	0.339063
43 	25    	0.237531 	0.15      	0.377344
44 	25    	0.24325  	0.171094  	0.303125
45 	25    	0.233812 	0.167187  	0.321875
46 	25    	0.245719 	0.111719  	0.361719
47 	25    	0.241438 	0.170312  	0.364062
48 	25    	0.240906 	0.157813  	0.375   
49 	25    	0.261688 	0.178906  	0.346094
50 	25    	0.24325  	0.146875  	0.378125
51 	25    	0.247187 	0.171875  	0.320312
52 	25    	0.268063 	0.18125   	0.36875 
53 	25    	0.252156 	0.132812  	0.39375 
54 	25    	0.241688 	0.164844  	0.3     
55 	25    	0.249437 	0.169531  	0.379687
56 	25    	0.212469 	0.0984375 	0.357031
57 	25    	0.213906 	0.132812  	0.321094
58 	25    	0.236063 	0.0984375 	0.400781
59 	25    	0.265812 	0.163281  	0.350781
60 	25    	0.228125 	0.06875   	0.379687
61 	25    	0.2555   	0.170312  	0.359375
62 	25    	0.24975  	0.179688  	0.332812
63 	25    	0.2585   	0.130469  	0.379687
64 	25    	0.257687 	0.16875   	0.360938
65 	25    	0.260531 	0.126563  	0.398438
66 	25    	0.273031 	0.150781  	0.372656
67 	25    	0.291313 	0.171094  	0.463281
68 	25    	0.289094 	0.194531  	0.396875
69 	25    	0.274188 	0.204688  	0.371094
70 	25    	0.268875 	0.192188  	0.373437
71 	25    	0.26625  	0.164844  	0.360156
72 	25    	0.260688 	0.176563  	0.354688
73 	25    	0.266312 	0.202344  	0.378906
74 	25    	0.270812 	0.18125   	0.377344
75 	25    	0.263625 	0.173438  	0.385156
76 	25    	0.277938 	0.192188  	0.398438
77 	25    	0.256438 	0.18125   	0.332812
78 	25    	0.260688 	0.180469  	0.378906
79 	25    	0.261969 	0.1875    	0.371094
80 	25    	0.274187 	0.161719  	0.371875
81 	25    	0.243156 	0.142188  	0.375781
82 	25    	0.266812 	0.185937  	0.420312
83 	25    	0.26175  	0.114063  	0.426562
84 	25    	0.28     	0.180469  	0.403906
85 	25    	0.286812 	0.195312  	0.426562
86 	25    	0.262812 	0.19375   	0.344531
87 	25    	0.2805   	0.199219  	0.399219
88 	25    	0.283781 	0.164062  	0.485156
89 	25    	0.270188 	0.194531  	0.407031
90 	25    	0.285969 	0.170312  	0.425   
91 	25    	0.263    	0.157031  	0.394531
92 	25    	0.283094 	0.160938  	0.372656
93 	25    	0.275281 	0.15      	0.416406
94 	25    	0.273625 	0.175781  	0.435937
95 	25    	0.257    	0.18125   	0.357031
96 	25    	0.293625 	0.228906  	0.422656
97 	25    	0.286031 	0.1375    	0.480469
98 	25    	0.285094 	0.15      	0.396094
99 	25    	0.287938 	0.154687  	0.410937
100	25    	0.262781 	0.141406  	0.377344
101	25    	0.270687 	0.189844  	0.377344
102	25    	0.273594 	0.172656  	0.357812
103	25    	0.266125 	0.188281  	0.3625  
104	25    	0.276687 	0.175     	0.435156
105	25    	0.278375 	0.196875  	0.413281
106	25    	0.279469 	0.152344  	0.480469
107	25    	0.284187 	0.205469  	0.39375 
108	25    	0.267719 	0.171875  	0.3625  
109	25    	0.25725  	0.10625   	0.415625
110	25    	0.292969 	0.164062  	0.420312
111	25    	0.268625 	0.210938  	0.33125 
112	25    	0.285531 	0.175781  	0.409375
113	25    	0.29525  	0.18125   	0.417969
114	25    	0.288031 	0.173438  	0.40625 
115	25    	0.267281 	0.126563  	0.396875
116	25    	0.270406 	0.15      	0.380469
117	25    	0.275906 	0.167969  	0.4     
118	25    	0.293125 	0.160156  	0.439063
119	25    	0.269594 	0.175781  	0.360938
120	25    	0.255719 	0.161719  	0.364844
121	25    	0.2635   	0.135937  	0.353125
122	25    	0.263406 	0.202344  	0.374219
123	25    	0.278406 	0.184375  	0.425   
124	25    	0.271844 	0.192188  	0.385156
125	25    	0.290031 	0.194531  	0.382812
126	25    	0.292562 	0.197656  	0.438281
127	25    	0.273625 	0.135156  	0.360938
128	25    	0.267156 	0.177344  	0.357812
129	25    	0.270469 	0.161719  	0.363281
130	25    	0.264937 	0.158594  	0.43125 
131	25    	0.302719 	0.192969  	0.478125
132	25    	0.2725   	0.178125  	0.365625
133	25    	0.293281 	0.170312  	0.428906
134	25    	0.271156 	0.161719  	0.39375 
135	25    	0.273219 	0.160938  	0.436719
136	25    	0.273625 	0.166406  	0.39375 
137	25    	0.284938 	0.215625  	0.417188
138	25    	0.274313 	0.160938  	0.491406
139	25    	0.273125 	0.183594  	0.4     
140	25    	0.270406 	0.189844  	0.403125
141	25    	0.276812 	0.170312  	0.396094
142	25    	0.291906 	0.160938  	0.40625 
143	25    	0.28475  	0.196094  	0.398438
144	25    	0.279563 	0.165625  	0.472656
145	25    	0.290625 	0.201562  	0.408594
146	25    	0.288125 	0.130469  	0.4375  
