gen	nevals	avg      	min      	max      
1  	25    	0.0165625	0        	0.0898438
2  	25    	0.058625 	0.0015625	0.166406 
3  	25    	0.0859375	0.025    	0.126563 
4  	25    	0.0740938	0.0046875	0.136719 
5  	25    	0.081    	0.034375 	0.159375 
6  	25    	0.093875 	0.028125 	0.175    
7  	25    	0.108719 	0.034375 	0.180469 
8  	25    	0.108656 	0.0570313	0.191406 
9  	25    	0.118    	0.0328125	0.200781 
10 	25    	0.138656 	0.034375 	0.205469 
11 	25    	0.148781 	0.0171875	0.246094 
12 	25    	0.157219 	0.0710938	0.247656 
13 	25    	0.145687 	0.0429688	0.235156 
14 	25    	0.161594 	0.0929687	0.26875  
15 	25    	0.164781 	0.0109375	0.271875 
16 	25    	0.179344 	0.0929687	0.30625  
17 	25    	0.167187 	0.0484375	0.254687 
18 	25    	0.199219 	0.071875 	0.315625 
19 	25    	0.222375 	0.116406 	0.376563 
20 	25    	0.220625 	0.078125 	0.349219 
21 	25    	0.220719 	0.104687 	0.332812 
22 	25    	0.231188 	0.153906 	0.333594 
23 	25    	0.200625 	0.140625 	0.309375 
24 	25    	0.214906 	0.110937 	0.357812 
25 	25    	0.22525  	0.100781 	0.380469 
26 	25    	0.242    	0.125    	0.388281 
27 	25    	0.222    	0.122656 	0.403906 
28 	25    	0.206656 	0.114063 	0.313281 
29 	25    	0.221188 	0.13125  	0.311719 
30 	25    	0.245594 	0.167969 	0.340625 
31 	25    	0.23675  	0.148438 	0.371875 
32 	25    	0.242375 	0.114063 	0.363281 
33 	25    	0.2485   	0.167187 	0.327344 
34 	25    	0.254187 	0.135937 	0.439063 
35 	25    	0.263875 	0.165625 	0.41875  
36 	25    	0.226125 	0.10625  	0.324219 
37 	25    	0.215    	0.108594 	0.33125  
38 	25    	0.229656 	0.153125 	0.352344 
39 	25    	0.248    	0.150781 	0.348437 
40 	25    	0.223781 	0.0992187	0.375781 
41 	25    	0.256594 	0.0984375	0.346094 
42 	25    	0.249562 	0.132812 	0.348437 
43 	25    	0.24125  	0.159375 	0.333594 
44 	25    	0.250031 	0.164062 	0.360156 
45 	25    	0.278188 	0.155469 	0.421875 
46 	25    	0.271969 	0.11875  	0.401563 
47 	25    	0.294531 	0.167187 	0.361719 
48 	25    	0.304    	0.167969 	0.496875 
49 	25    	0.31525  	0.19375  	0.496875 
50 	25    	0.305781 	0.228125 	0.43125  
51 	25    	0.297219 	0.142969 	0.432031 
52 	25    	0.285844 	0.134375 	0.434375 
53 	25    	0.283094 	0.153125 	0.380469 
54 	25    	0.275594 	0.135937 	0.439063 
55 	25    	0.293125 	0.205469 	0.455469 
56 	25    	0.292375 	0.170312 	0.4375   
57 	25    	0.318062 	0.195312 	0.435937 
58 	25    	0.295406 	0.192188 	0.44375  
59 	25    	0.293375 	0.159375 	0.502344 
60 	25    	0.299562 	0.186719 	0.396094 
61 	25    	0.30825  	0.164062 	0.446875 
62 	25    	0.323406 	0.227344 	0.516406 
63 	25    	0.311719 	0.18125  	0.510156 
64 	25    	0.316937 	0.192188 	0.451562 
65 	25    	0.328156 	0.175    	0.539844 
66 	25    	0.318906 	0.185937 	0.44375  
67 	25    	0.29225  	0.158594 	0.372656 
68 	25    	0.314094 	0.214062 	0.504687 
69 	25    	0.32375  	0.229687 	0.419531 
70 	25    	0.314625 	0.188281 	0.450781 
71 	25    	0.351    	0.232812 	0.491406 
72 	25    	0.330656 	0.186719 	0.471875 
73 	25    	0.336625 	0.196875 	0.477344 
74 	25    	0.313031 	0.196094 	0.45625  
75 	25    	0.292469 	0.154687 	0.4375   
76 	25    	0.297906 	0.2      	0.486719 
77 	25    	0.304187 	0.178906 	0.480469 
78 	25    	0.311656 	0.219531 	0.460156 
79 	25    	0.309875 	0.208594 	0.428906 
80 	25    	0.297062 	0.1375   	0.459375 
81 	25    	0.296406 	0.16875  	0.452344 
82 	25    	0.321531 	0.222656 	0.453906 
83 	25    	0.305406 	0.163281 	0.478906 
84 	25    	0.286219 	0.157813 	0.401563 
85 	25    	0.313531 	0.132031 	0.503125 
86 	25    	0.308531 	0.228906 	0.490625 
87 	25    	0.279375 	0.151562 	0.3875   
88 	25    	0.31975  	0.194531 	0.503125 
89 	25    	0.322844 	0.253906 	0.429688 
90 	25    	0.311438 	0.242188 	0.432031 
91 	25    	0.315594 	0.225781 	0.452344 
92 	25    	0.303031 	0.217187 	0.410156 
93 	25    	0.306875 	0.205469 	0.490625 
94 	25    	0.310844 	0.173438 	0.457812 
95 	25    	0.281938 	0.18125  	0.409375 
96 	25    	0.297656 	0.166406 	0.423438 
97 	25    	0.309125 	0.226562 	0.40625  
98 	25    	0.317719 	0.195312 	0.435156 
99 	25    	0.328812 	0.229687 	0.434375 
100	25    	0.314375 	0.239063 	0.392188 
101	25    	0.316438 	0.198437 	0.421094 
102	25    	0.31575  	0.189063 	0.511719 
103	25    	0.3095   	0.209375 	0.404687 
104	25    	0.312094 	0.197656 	0.509375 
105	25    	0.30875  	0.198437 	0.428125 
106	25    	0.29725  	0.207031 	0.390625 
107	25    	0.28225  	0.186719 	0.392969 
108	25    	0.326656 	0.182031 	0.455469 
109	25    	0.309813 	0.167969 	0.428906 
110	25    	0.307156 	0.182031 	0.483594 
111	25    	0.303719 	0.166406 	0.441406 
112	25    	0.315687 	0.159375 	0.458594 
113	25    	0.310875 	0.1875   	0.403125 
114	25    	0.302875 	0.188281 	0.508594 
115	25    	0.296875 	0.146875 	0.485156 
116	25    	0.314    	0.173438 	0.473437 
117	25    	0.318406 	0.192969 	0.494531 
118	25    	0.316906 	0.184375 	0.428125 
119	25    	0.296813 	0.228906 	0.448438 
120	25    	0.313406 	0.186719 	0.447656 
121	25    	0.316406 	0.250781 	0.424219 
122	25    	0.295969 	0.160156 	0.465625 
123	25    	0.283937 	0.205469 	0.455469 
124	25    	0.32475  	0.183594 	0.520312 
125	25    	0.3095   	0.200781 	0.414844 
126	25    	0.296031 	0.15625  	0.422656 
127	25    	0.286344 	0.182812 	0.389844 
128	25    	0.316594 	0.225    	0.424219 
129	25    	0.298562 	0.190625 	0.455469 
130	25    	0.312688 	0.235938 	0.459375 
131	25    	0.310313 	0.215625 	0.48125  
132	25    	0.321844 	0.20625  	0.521875 
133	25    	0.313594 	0.210156 	0.438281 
134	25    	0.310906 	0.220313 	0.396094 
135	25    	0.317469 	0.16875  	0.447656 
136	25    	0.335375 	0.224219 	0.444531 
137	25    	0.323688 	0.225    	0.525781 
138	25    	0.330594 	0.207813 	0.535937 
139	25    	0.326    	0.196875 	0.439844 
140	25    	0.326781 	0.239844 	0.521875 
141	25    	0.321062 	0.236719 	0.45625  
142	25    	0.300875 	0.185937 	0.453906 
143	25    	0.315375 	0.240625 	0.46875  
144	25    	0.306    	0.217187 	0.451562 
145	25    	0.323688 	0.235938 	0.410937 
146	25    	0.31875  	0.227344 	0.401563 
147	25    	0.318187 	0.160938 	0.528125 
148	25    	0.28875  	0.201562 	0.398438 
149	25    	0.299187 	0.186719 	0.428125 
150	25    	0.307031 	0.14375  	0.447656 
151	25    	0.305    	0.204688 	0.535937 
152	25    	0.291125 	0.192188 	0.426562 
153	25    	0.3275   	0.215625 	0.535937 
154	25    	0.337313 	0.20625  	0.475781 
155	25    	0.317094 	0.214062 	0.41875  
156	25    	0.327812 	0.197656 	0.407813 
157	25    	0.303656 	0.173438 	0.503906 
158	25    	0.329594 	0.224219 	0.465625 
159	25    	0.330844 	0.21875  	0.48125  
160	25    	0.319469 	0.213281 	0.420312 
161	25    	0.312344 	0.214062 	0.511719 
162	25    	0.312469 	0.178906 	0.469531 
163	25    	0.285312 	0.191406 	0.400781 
164	25    	0.312437 	0.1875   	0.410937 
165	25    	0.31625  	0.203906 	0.520312 
166	25    	0.325562 	0.222656 	0.4375   
167	25    	0.334813 	0.198437 	0.489062 
168	25    	0.316062 	0.203125 	0.434375 
169	25    	0.334594 	0.209375 	0.453125 
170	25    	0.345187 	0.247656 	0.540625 
171	25    	0.319656 	0.217187 	0.428125 
172	25    	0.336906 	0.210156 	0.584375 
173	25    	0.300156 	0.184375 	0.432813 
174	25    	0.311844 	0.160938 	0.478906 
175	25    	0.33125  	0.205469 	0.560156 
176	25    	0.325844 	0.245312 	0.454688 
177	25    	0.295156 	0.165625 	0.448438 
178	25    	0.326094 	0.2125   	0.44375  
179	25    	0.334594 	0.1875   	0.465625 
180	25    	0.321188 	0.233594 	0.453125 
181	25    	0.300656 	0.176563 	0.392188 
182	25    	0.311375 	0.228125 	0.432813 
183	25    	0.302656 	0.189844 	0.457031 
184	25    	0.320312 	0.221094 	0.447656 
185	25    	0.301344 	0.173438 	0.45625  
186	25    	0.333031 	0.199219 	0.447656 
187	25    	0.319406 	0.210156 	0.492969 
188	25    	0.324156 	0.182031 	0.475781 
189	25    	0.30275  	0.216406 	0.482812 
190	25    	0.290312 	0.149219 	0.48125  
191	25    	0.302625 	0.196094 	0.457812 
192	25    	0.322    	0.198437 	0.438281 
193	25    	0.3205   	0.215625 	0.489844 
194	25    	0.304719 	0.171875 	0.503906 
195	25    	0.320156 	0.149219 	0.532812 
196	25    	0.3105   	0.222656 	0.436719 
197	25    	0.305625 	0.164062 	0.446094 
198	25    	0.32575  	0.142188 	0.429688 
199	25    	0.308438 	0.186719 	0.477344 
200	25    	0.338469 	0.183594 	0.501562 
201	25    	0.31375  	0.175    	0.445312 
202	25    	0.322281 	0.204688 	0.404687 
