Episode 1, Score: 6.3042, Steps: 16819, Episode Time: 0h 2m 56.121596813201904s
Episode 2, Score: 7.46948, Steps: 16819, Episode Time: 0h 2m 57.15579867362976s
Episode 3, Score: 38.9004, Steps: 16819, Episode Time: 0h 2m 59.174665212631226s
Episode 4, Score: 5.46753, Steps: 16819, Episode Time: 0h 3m 2.7691376209259033s
Episode 5, Score: 3.35693, Steps: 16819, Episode Time: 0h 2m 57.047152042388916s
Episode 6, Score: 26.1328, Steps: 16819, Episode Time: 0h 3m 0.7553002834320068s
Episode 7, Score: 8.39722, Steps: 16819, Episode Time: 0h 3m 2.7388575077056885s
Episode 8, Score: 7.19922, Steps: 16819, Episode Time: 0h 3m 5.956209659576416s
Episode 9, Score: 8.36108, Steps: 16819, Episode Time: 0h 3m 1.9297702312469482s
Episode 10, Score: 8.29492, Steps: 16819, Episode Time: 0h 2m 59.777190923690796s
Episode 11, Score: 15.0063, Steps: 16819, Episode Time: 0h 2m 59.60635709762573s
Episode 12, Score: 10.1677, Steps: 16819, Episode Time: 0h 3m 1.0760340690612793s
Episode 13, Score: 12.3616, Steps: 16819, Episode Time: 0h 3m 2.007608413696289s
Episode 14, Score: 17.0615, Steps: 16819, Episode Time: 0h 3m 1.4957268238067627s
Episode 15, Score: 580.125, Steps: 16869, Episode Time: 0h 3m 0.2675364017486572s
Episode 16, Score: 311.886, Steps: 16866, Episode Time: 0h 2m 58.106709003448486s
Episode 17, Score: 173.149, Steps: 16819, Episode Time: 0h 2m 57.75003528594971s
Episode 18, Score: 111.816, Steps: 16819, Episode Time: 0h 2m 57.42410397529602s
Episode 19, Score: 122.106, Steps: 16819, Episode Time: 0h 2m 56.80706763267517s
Episode 20, Score: 127.15, Steps: 16819, Episode Time: 0h 2m 57.78435230255127s
Episode 21, Score: 1709.0, Steps: 9860, Episode Time: 0h 1m 46.72823524475098s
Episode 22, Score: 2717.6, Steps: 7860, Episode Time: 0h 1m 27.312220573425293s
Episode 23, Score: 575.697, Steps: 16819, Episode Time: 0h 3m 2.756314277648926s
Episode 24, Score: 705.41, Steps: 6960, Episode Time: 0h 1m 14.366900444030762s
Episode 25, Score: 303.384, Steps: 16819, Episode Time: 0h 2m 57.41622591018677s
Episode 26, Score: 300.135, Steps: 16819, Episode Time: 0h 2m 57.15705966949463s
Episode 27, Score: 301.656, Steps: 16819, Episode Time: 0h 2m 56.287296295166016s
Episode 28, Score: 477.222, Steps: 6460, Episode Time: 0h 1m 8.787910461425781s
Episode 29, Score: 481.709, Steps: 16819, Episode Time: 0h 3m 0.4726572036743164s
Episode 30, Score: 488.024, Steps: 16819, Episode Time: 0h 3m 7.795777797698975s
Episode 31, Score: 656.618, Steps: 16819, Episode Time: 0h 3m 6.455656290054321s
Episode 32, Score: 317.706, Steps: 6360, Episode Time: 0h 1m 11.9913010597229s
Episode 33, Score: 696.115, Steps: 5878, Episode Time: 0h 1m 10.970526456832886s
Episode 34, Score: 487.269, Steps: 5696, Episode Time: 0h 1m 0.7630703449249268s
Episode 35, Score: 486.059, Steps: 7160, Episode Time: 0h 1m 15.989164113998413s
Episode 36, Score: 479.447, Steps: 9760, Episode Time: 0h 1m 44.49942708015442s
Episode 37, Score: 298.308, Steps: 16931, Episode Time: 0h 3m 4.644967317581177s
Episode 38, Score: 477.211, Steps: 16819, Episode Time: 0h 3m 4.317880868911743s
Episode 39, Score: 476.243, Steps: 16819, Episode Time: 0h 3m 0.013240337371826172s
Episode 40, Score: 480.185, Steps: 16819, Episode Time: 0h 3m 1.3774244785308838s
Episode 41, Score: 407.807, Steps: 16819, Episode Time: 0h 3m 4.287034273147583s
Episode 42, Score: 2717.24, Steps: 6260, Episode Time: 0h 1m 10.104315757751465s
Episode 43, Score: 654.983, Steps: 16819, Episode Time: 0h 2m 59.57054901123047s
Episode 44, Score: 311.99, Steps: 5969, Episode Time: 0h 1m 9.611011028289795s
Episode 45, Score: 483.958, Steps: 16819, Episode Time: 0h 2m 57.79781723022461s
Episode 46, Score: 707.754, Steps: 6460, Episode Time: 0h 1m 10.575573682785034s
Episode 47, Score: 488.725, Steps: 13660, Episode Time: 0h 2m 29.299788236618042s
Episode 48, Score: 263.56, Steps: 16819, Episode Time: 0h 3m 4.988182306289673s
Episode 49, Score: 480.621, Steps: 8360, Episode Time: 0h 1m 31.44586157798767s
Episode 50, Score: 489.378, Steps: 16819, Episode Time: 0h 3m 1.7337393760681152s
Episode 51, Score: 483.528, Steps: 9060, Episode Time: 0h 1m 48.55658268928528s
Episode 52, Score: 459.334, Steps: 16819, Episode Time: 0h 3m 21.688802480697632s
Episode 53, Score: 2732.54, Steps: 6060, Episode Time: 0h 1m 13.068476676940918s
Episode 54, Score: 488.174, Steps: 6160, Episode Time: 0h 1m 10.094544410705566s
Episode 55, Score: 1619.59, Steps: 11160, Episode Time: 0h 2m 3.6375160217285156s
Episode 56, Score: 1340.17, Steps: 6960, Episode Time: 0h 1m 16.09002184867859s
Episode 57, Score: 710.511, Steps: 5969, Episode Time: 0h 1m 5.03399920463562s
Episode 58, Score: 1664.97, Steps: 5696, Episode Time: 0h 1m 2.7873647212982178s
Episode 59, Score: 656.62, Steps: 16819, Episode Time: 0h 3m 4.284153699874878s
Episode 60, Score: 657.095, Steps: 16819, Episode Time: 0h 3m 1.888953685760498s
Episode 61, Score: 476.437, Steps: 6560, Episode Time: 0h 1m 13.874971389770508s
Episode 62, Score: 485.729, Steps: 16819, Episode Time: 0h 3m 6.900883913040161s
Episode 63, Score: 708.904, Steps: 6160, Episode Time: 0h 1m 14.360515594482422s
Episode 64, Score: 250.65, Steps: 16819, Episode Time: 0h 3m 19.302486896514893s
