Episode 1, Score: 6.49731, Steps: 16819, Episode Time: 0h 3m 3.7119762897491455s
Episode 2, Score: -10.8186, Steps: 16819, Episode Time: 0h 3m 7.65060019493103s
Episode 3, Score: -4.38354, Steps: 16819, Episode Time: 0h 3m 12.404399156570435s
Episode 4, Score: 6.74194, Steps: 16819, Episode Time: 0h 3m 8.044701099395752s
Episode 5, Score: 0.80249, Steps: 16819, Episode Time: 0h 3m 14.734880685806274s
Episode 6, Score: 3.04565, Steps: 16819, Episode Time: 0h 2m 56.49568462371826s
Episode 7, Score: 11.5281, Steps: 16819, Episode Time: 0h 2m 58.90759754180908s
Episode 8, Score: 9.54102, Steps: 16819, Episode Time: 0h 3m 5.562839508056641s
Episode 9, Score: 122.352, Steps: 16824, Episode Time: 0h 2m 55.93844676017761s
Episode 10, Score: 6.9707, Steps: 16819, Episode Time: 0h 2m 59.55418086051941s
Episode 11, Score: 16.498, Steps: 16819, Episode Time: 0h 3m 3.3101494312286377s
Episode 12, Score: 8.01831, Steps: 16819, Episode Time: 0h 3m 6.336434602737427s
Episode 13, Score: 9.40527, Steps: 16819, Episode Time: 0h 3m 11.701185464859009s
Episode 14, Score: 9.91187, Steps: 16819, Episode Time: 0h 3m 3.595184803009033s
Episode 15, Score: 15.4399, Steps: 16819, Episode Time: 0h 3m 1.2684540748596191s
Episode 16, Score: 274.99, Steps: 16819, Episode Time: 0h 3m 11.91578459739685s
Episode 17, Score: 181.659, Steps: 16819, Episode Time: 0h 3m 2.4619386196136475s
Episode 18, Score: 278.531, Steps: 16819, Episode Time: 0h 3m 6.397511005401611s
Episode 19, Score: 488.384, Steps: 16819, Episode Time: 0h 2m 59.231701135635376s
Episode 20, Score: 247.685, Steps: 16819, Episode Time: 0h 2m 59.50416398048401s
Episode 21, Score: 476.84, Steps: 16819, Episode Time: 0h 3m 4.806232929229736s
Episode 22, Score: 293.803, Steps: 16819, Episode Time: 0h 3m 2.7376136779785156s
Episode 23, Score: 470.855, Steps: 16819, Episode Time: 0h 3m 1.420860767364502s
Episode 24, Score: 478.685, Steps: 16819, Episode Time: 0h 2m 59.658753871917725s
Episode 25, Score: 293.406, Steps: 16819, Episode Time: 0h 3m 2.3922817707061768s
Episode 26, Score: 298.322, Steps: 16819, Episode Time: 0h 3m 0.26877641677856445s
Episode 27, Score: 282.892, Steps: 16819, Episode Time: 0h 3m 16.055761098861694s
Episode 28, Score: 287.303, Steps: 16819, Episode Time: 0h 3m 3.4196419715881348s
Episode 29, Score: 268.002, Steps: 16819, Episode Time: 0h 3m 13.158098459243774s
Episode 30, Score: 15.0081, Steps: 16819, Episode Time: 0h 3m 2.338578224182129s
Episode 31, Score: 475.785, Steps: 7160, Episode Time: 0h 1m 18.803301334381104s
Episode 32, Score: 311.744, Steps: 6760, Episode Time: 0h 1m 16.15451693534851s
Episode 33, Score: 584.002, Steps: 16819, Episode Time: 0h 3m 4.7138519287109375s
Episode 34, Score: 472.653, Steps: 16819, Episode Time: 0h 3m 0.18701767921447754s
Episode 35, Score: 920.986, Steps: 16819, Episode Time: 0h 3m 10.31014108657837s
Episode 36, Score: 1632.03, Steps: 6460, Episode Time: 0h 1m 20.32419753074646s
Episode 37, Score: 920.31, Steps: 16819, Episode Time: 0h 3m 14.155306339263916s
Episode 38, Score: 478.636, Steps: 12460, Episode Time: 0h 2m 20.338125228881836s
Episode 39, Score: 484.328, Steps: 6260, Episode Time: 0h 1m 14.110939979553223s
Episode 40, Score: 467.363, Steps: 6560, Episode Time: 0h 1m 18.913774967193604s
Episode 41, Score: 1103.62, Steps: 16922, Episode Time: 0h 3m 16.172706365585327s
Episode 42, Score: 2727.37, Steps: 5969, Episode Time: 0h 1m 9.263225555419922s
Episode 43, Score: 2699.06, Steps: 6460, Episode Time: 0h 1m 15.49634313583374s
Episode 44, Score: 1369.35, Steps: 6160, Episode Time: 0h 1m 12.06112790107727s
Episode 45, Score: 478.085, Steps: 16819, Episode Time: 0h 3m 15.735796451568604s
Episode 46, Score: 2724.17, Steps: 5969, Episode Time: 0h 1m 7.628476858139038s
Episode 47, Score: 482.238, Steps: 16819, Episode Time: 0h 3m 1.2791385650634766s
Episode 48, Score: 1296.39, Steps: 6760, Episode Time: 0h 1m 16.931853771209717s
Episode 49, Score: 2001.82, Steps: 6260, Episode Time: 0h 1m 12.65002155303955s
Episode 50, Score: 459.62, Steps: 6460, Episode Time: 0h 1m 13.52903962135315s
Episode 51, Score: 481.834, Steps: 16819, Episode Time: 0h 3m 12.378321647644043s
Episode 52, Score: 702.574, Steps: 16819, Episode Time: 0h 3m 8.910898923873901s
Episode 53, Score: 480.654, Steps: 6060, Episode Time: 0h 1m 5.4967591762542725s
Episode 54, Score: 439.753, Steps: 16819, Episode Time: 0h 2m 58.37224578857422s
Episode 55, Score: 578.006, Steps: 6460, Episode Time: 0h 1m 11.139845609664917s
Episode 56, Score: 367.409, Steps: 5878, Episode Time: 0h 1m 2.117504358291626s
Episode 57, Score: 488.432, Steps: 5969, Episode Time: 0h 1m 3.8779971599578857s
Episode 58, Score: 706.719, Steps: 16460, Episode Time: 0h 3m 1.0670568943023682s
Episode 59, Score: 469.865, Steps: 16819, Episode Time: 0h 2m 57.923879623413086s
Episode 60, Score: 486.831, Steps: 16819, Episode Time: 0h 2m 56.72746992111206s
Episode 61, Score: 909.107, Steps: 16819, Episode Time: 0h 2m 55.031620502471924s
Episode 62, Score: 483.974, Steps: 6160, Episode Time: 0h 1m 5.527337074279785s
Episode 63, Score: 1425.4, Steps: 5969, Episode Time: 0h 1m 3.1867835521698s
Episode 64, Score: 901.088, Steps: 16819, Episode Time: 0h 2m 54.646811962127686s
