gen	nevals	avg      	min     	max     
0  	10    	-7.46377 	-7.59888	-7.44263
1  	10    	-7.45645 	-7.52563	-7.44263
2  	10    	-5.47109 	-7.52563	8.95923 
3  	10    	-3.9426  	-7.52563	8.95923 
4  	10    	-3.43425 	-7.52563	9.46802 
5  	10    	-3.42666 	-7.44971	9.46802 
6  	10    	-3.35237 	-7.44971	9.70215 
7  	10    	-1.97288 	-7.44971	18.8738 
8  	10    	-1.8612  	-7.44971	18.8738 
9  	10    	-0.223485	-7.44971	18.8738 
10 	10    	8.01885  	-7.44971	51.9053 
11 	10    	8.85935  	-7.44971	51.9053 
12 	10    	9.22773  	-7.44971	51.9053 
13 	10    	13.0259  	-7.44971	70.8428 
14 	10    	23.2564  	-7.44971	152.029 
15 	10    	25.86    	-7.44971	152.029 
16 	10    	26.7488  	-7.44971	152.029 
17 	10    	28.9689  	-3.99292	152.029 
18 	10    	36.3562  	-3.99292	152.029 
19 	10    	36.3702  	-3.99292	152.029 
20 	10    	37.2625  	-3.5293 	152.029 
21 	10    	42.938   	-3.5293 	152.029 
22 	10    	58.9257  	-3.5293 	216.704 
23 	10    	94.2412  	-1.00781	357.482 
24 	10    	94.8143  	-1.00781	357.482 
25 	10    	94.8519  	-1.00781	357.482 
26 	10    	95.8485  	6.14575 	357.482 
27 	10    	114.61   	9.67407 	357.482 
28 	10    	119.899  	9.67407 	357.482 
29 	10    	126.863  	18.4717 	357.482 
30 	10    	126.863  	18.4717 	357.482 
31 	10    	126.863  	18.4717 	357.482 
32 	10    	126.863  	18.4717 	357.482 
33 	10    	127.753  	18.4717 	357.482 
34 	10    	127.753  	18.4717 	357.482 
35 	10    	128.591  	20.6846 	357.482 
36 	10    	128.591  	20.6846 	357.482 
37 	10    	128.591  	20.6846 	357.482 
38 	10    	128.591  	20.6846 	357.482 
39 	10    	154.868  	24.8064 	357.482 
40 	10    	154.868  	24.8064 	357.482 
41 	10    	154.868  	24.8064 	357.482 
42 	10    	154.868  	24.8064 	357.482 
43 	10    	154.868  	24.8064 	357.482 
44 	10    	162.622  	53.7776 	357.482 
45 	10    	162.622  	53.7776 	357.482 
46 	10    	162.622  	53.7776 	357.482 
47 	10    	163.957  	67.1316 	357.482 
48 	10    	163.957  	67.1316 	357.482 
49 	10    	163.957  	67.1316 	357.482 
50 	10    	163.957  	67.1316 	357.482 
51 	10    	163.957  	67.1316 	357.482 
52 	10    	163.957  	67.1316 	357.482 
53 	10    	163.957  	67.1316 	357.482 
54 	10    	163.957  	67.1316 	357.482 
55 	10    	163.957  	67.1316 	357.482 
56 	10    	163.957  	67.1316 	357.482 
57 	10    	163.957  	67.1316 	357.482 
58 	10    	163.957  	67.1316 	357.482 
59 	10    	193.234  	67.1316 	578.269 
60 	10    	193.234  	67.1316 	578.269 
61 	10    	241.586  	67.1316 	578.269 
62 	10    	242.877  	67.1316 	578.269 
63 	10    	242.877  	67.1316 	578.269 
64 	10    	242.877  	67.1316 	578.269 
65 	10    	242.877  	67.1316 	578.269 
66 	10    	242.877  	67.1316 	578.269 
67 	10    	247.044  	67.1316 	578.269 
68 	10    	247.044  	67.1316 	578.269 
69 	10    	251.437  	79.3193 	578.269 
70 	10    	264.731  	79.3193 	578.269 
