gen	nevals	avg      	min     	max    
0  	10    	-6.12151 	-7.62598	6.0188 
1  	10    	-6.07342 	-7.47095	6.30908
2  	10    	-6.07129 	-7.44971	6.30908
3  	10    	-6.07005 	-7.44971	6.30908
4  	10    	-5.38367 	-7.44971	6.30908
5  	10    	-5.19754 	-7.44971	6.30908
6  	10    	-4.40297 	-7.44971	10.7896
7  	10    	-3.71264 	-7.44971	10.7896
8  	10    	-2.16489 	-7.44971	10.7896
9  	10    	-2.08115 	-7.44971	10.7896
10 	10    	-0.854195	-7.44971	10.7896
11 	10    	-0.50588 	-7.44971	10.7896
12 	10    	-0.349898	-7.44971	10.7896
13 	10    	0.355277 	-7.44946	10.7896
14 	10    	0.374418 	-7.44946	10.7896
15 	10    	1.73892  	-7.44946	11.2424
16 	10    	8.01139  	-7.44946	51.3013
17 	10    	8.90802  	-7.44946	51.3013
18 	10    	9.94087  	-7.44946	51.3013
19 	10    	15.6317  	-7.44946	74.3562
20 	10    	16.17    	-3.99805	74.3562
21 	10    	16.4702  	-3.99805	74.3562
22 	10    	16.6186  	-3.99805	75.8401
23 	10    	16.7069  	-3.13354	75.8401
24 	10    	16.7069  	-3.13354	75.8401
25 	10    	19.1115  	-2.87256	75.8401
26 	10    	19.3525  	-2.87256	75.8401
27 	10    	21.0205  	-2.87256	75.8401
28 	10    	24.2978  	-2.87256	75.8401
29 	10    	26.7318  	-2.87256	75.8401
30 	10    	26.7318  	-2.87256	75.8401
31 	10    	26.8547  	-2.87256	75.8401
32 	10    	30.0709  	-1.84521	75.8401
33 	10    	31.1427  	8.84351 	75.8401
34 	10    	31.1427  	8.84351 	75.8401
35 	10    	31.4686  	8.87207 	75.8401
36 	10    	31.4686  	8.87207 	75.8401
37 	10    	32.1152  	10.2891 	75.8401
38 	10    	32.8591  	12.1025 	75.8401
39 	10    	58.7773  	13.7954 	248.372
40 	10    	67.4352  	21.0461 	248.372
41 	10    	67.4352  	21.0461 	248.372
42 	10    	67.5354  	21.0461 	248.372
43 	10    	68.3687  	24.2834 	248.372
44 	10    	80.4814  	24.2834 	248.372
45 	10    	80.4814  	24.2834 	248.372
46 	10    	80.4814  	24.2834 	248.372
47 	10    	92.0452  	29.7131 	248.372
48 	10    	92.0452  	29.7131 	248.372
49 	10    	92.0452  	29.7131 	248.372
50 	10    	92.0452  	29.7131 	248.372
51 	10    	92.0452  	29.7131 	248.372
52 	10    	92.0452  	29.7131 	248.372
53 	10    	92.0452  	29.7131 	248.372
54 	10    	92.0452  	29.7131 	248.372
55 	10    	92.0452  	29.7131 	248.372
56 	10    	92.0452  	29.7131 	248.372
57 	10    	92.0452  	29.7131 	248.372
58 	10    	92.0452  	29.7131 	248.372
59 	10    	92.0452  	29.7131 	248.372
60 	10    	92.0452  	29.7131 	248.372
61 	10    	92.0452  	29.7131 	248.372
62 	10    	92.0452  	29.7131 	248.372
63 	10    	94.2441  	33.5291 	248.372
64 	10    	94.2441  	33.5291 	248.372
65 	10    	99.4673  	40.6406 	248.372
66 	10    	99.4673  	40.6406 	248.372
67 	10    	103.075  	40.6406 	284.452
68 	10    	107.048  	40.6406 	284.452
69 	10    	107.048  	40.6406 	284.452
70 	10    	107.048  	40.6406 	284.452
71 	10    	107.048  	40.6406 	284.452
72 	10    	107.048  	40.6406 	284.452
73 	10    	107.048  	40.6406 	284.452
74 	10    	108.372  	44.2026 	284.452
75 	10    	108.372  	44.2026 	284.452
76 	10    	116.277  	44.2026 	284.452
77 	10    	116.277  	44.2026 	284.452
78 	10    	120.092  	44.2026 	284.452
79 	10    	120.092  	44.2026 	284.452
80 	10    	120.092  	44.2026 	284.452
81 	10    	120.092  	44.2026 	284.452
82 	10    	120.092  	44.2026 	284.452
83 	10    	120.092  	44.2026 	284.452
84 	10    	120.092  	44.2026 	284.452
85 	10    	120.092  	44.2026 	284.452
86 	10    	120.092  	44.2026 	284.452
87 	10    	120.092  	44.2026 	284.452
88 	10    	130.392  	51.7024 	284.452
89 	10    	133.347  	51.7024 	284.452
90 	10    	133.347  	51.7024 	284.452
91 	10    	133.347  	51.7024 	284.452
92 	10    	133.347  	51.7024 	284.452
93 	10    	133.347  	51.7024 	284.452
94 	10    	133.42   	51.7024 	285.184
95 	10    	133.42   	51.7024 	285.184
96 	10    	133.42   	51.7024 	285.184
97 	10    	152.228  	53.0361 	471.937
98 	10    	152.228  	53.0361 	471.937
99 	10    	152.228  	53.0361 	471.937
100	10    	152.228  	53.0361 	471.937
101	10    	152.228  	53.0361 	471.937
102	10    	152.228  	53.0361 	471.937
103	10    	152.228  	53.0361 	471.937
104	10    	152.228  	53.0361 	471.937
105	10    	152.228  	53.0361 	471.937
106	10    	152.228  	53.0361 	471.937
107	10    	175.271  	53.886  	471.937
108	10    	175.271  	53.886  	471.937
109	10    	175.271  	53.886  	471.937
110	10    	175.271  	53.886  	471.937
111	10    	189.753  	53.886  	471.937
112	10    	189.753  	53.886  	471.937
113	10    	189.753  	53.886  	471.937
114	10    	189.753  	53.886  	471.937
115	10    	189.753  	53.886  	471.937
116	10    	189.753  	53.886  	471.937
117	10    	214.875  	53.886  	534.688
118	10    	214.875  	53.886  	534.688
119	10    	214.875  	53.886  	534.688
120	10    	214.875  	53.886  	534.688
121	10    	214.875  	53.886  	534.688
122	10    	214.875  	53.886  	534.688
123	10    	214.875  	53.886  	534.688
124	10    	214.875  	53.886  	534.688
125	10    	214.875  	53.886  	534.688
126	10    	214.875  	53.886  	534.688
127	10    	214.875  	53.886  	534.688
128	10    	250.134  	53.886  	534.688
129	10    	250.134  	53.886  	534.688
