gen	nevals	avg    	min     	max    
0  	10    	13.542 	-8.75244	125.852
1  	10    	15.3567	-2.88672	125.852
2  	10    	16.2275	-2.88672	125.852
3  	10    	24.1548	-2.55933	125.852
4  	10    	24.6146	-2.22729	125.852
5  	10    	43.0313	-2.22729	309.483
6  	10    	62.1876	-2.22729	493.781
7  	10    	63.7096	-2.22729	493.781
8  	10    	69.6835	-2.22729	493.781
9  	10    	102.642	-2.22729	493.781
10 	10    	104.239	-2.22729	493.781
11 	10    	104.285	-2.22729	493.781
12 	10    	105.611	6.78198 	493.781
13 	10    	105.611	6.78198 	493.781
14 	10    	105.711	7.78882 	493.781
15 	10    	105.817	8.11255 	493.781
16 	10    	105.817	8.11255 	493.781
17 	10    	106.846	8.58813 	493.781
18 	10    	121.175	15.5654 	493.781
19 	10    	132.712	15.5654 	493.781
20 	10    	146.878	15.5654 	493.781
21 	10    	146.878	15.5654 	493.781
22 	10    	147.162	17.1729 	493.781
23 	10    	148.965	17.1729 	503.041
24 	10    	148.965	17.1729 	503.041
25 	10    	148.965	17.1729 	503.041
26 	10    	151.047	17.1729 	503.041
27 	10    	151.047	17.1729 	503.041
28 	10    	171.409	27.1763 	503.041
29 	10    	171.409	27.1763 	503.041
30 	10    	182.564	27.1763 	503.041
31 	10    	189.688	38.8049 	503.041
32 	10    	189.688	38.8049 	503.041
33 	10    	189.688	38.8049 	503.041
34 	10    	189.688	38.8049 	503.041
35 	10    	201.92 	38.8049 	503.041
36 	10    	201.92 	38.8049 	503.041
37 	10    	201.92 	38.8049 	503.041
38 	10    	201.92 	38.8049 	503.041
39 	10    	201.92 	38.8049 	503.041
40 	10    	202.262	38.8049 	503.041
41 	10    	202.262	38.8049 	503.041
42 	10    	202.262	38.8049 	503.041
43 	10    	202.262	38.8049 	503.041
44 	10    	202.262	38.8049 	503.041
45 	10    	202.262	38.8049 	503.041
46 	10    	202.262	38.8049 	503.041
47 	10    	202.262	38.8049 	503.041
48 	10    	202.262	38.8049 	503.041
49 	10    	246.089	38.8049 	672.344
50 	10    	246.089	38.8049 	672.344
51 	10    	246.089	38.8049 	672.344
52 	10    	246.089	38.8049 	672.344
53 	10    	256.846	38.8049 	672.344
