gen	nevals	avg     	min     	max    
0  	10    	0.389352	-4.28418	11.8149
1  	10    	2.11132 	-3.76074	11.8149
2  	10    	4.99646 	-2.72827	23.2395
3  	10    	6.21777 	-2.28369	23.2395
4  	10    	6.54348 	-2.28369	23.2395
5  	10    	7.08374 	-2.28369	23.2395
6  	10    	16.2329 	-2.28369	74.0503
7  	10    	16.4149 	-2.13184	74.0503
8  	10    	16.6628 	-2.13184	74.0503
9  	10    	17.203  	1.48511 	74.0503
10 	10    	18.6539 	1.7002  	74.0503
11 	10    	18.8719 	1.7002  	74.0503
12 	10    	43.1278 	3.65698 	250.125
13 	10    	43.2864 	3.65698 	250.125
14 	10    	44.1122 	6.03418 	250.125
15 	10    	44.1203 	6.11475 	250.125
16 	10    	51.1124 	6.11475 	250.125
17 	10    	59.2243 	7.95996 	250.125
18 	10    	116.718 	9.80981 	476.506
19 	10    	117.134 	13.9722 	476.506
20 	10    	130.239 	13.9722 	476.506
21 	10    	130.239 	13.9722 	476.506
22 	10    	140.487 	13.9722 	476.506
23 	10    	165.086 	13.9722 	476.506
24 	10    	168.26  	13.9722 	476.506
25 	10    	197.744 	28.0349 	476.506
26 	10    	197.744 	28.0349 	476.506
27 	10    	197.744 	28.0349 	476.506
28 	10    	199.59  	28.0349 	476.506
29 	10    	274.864 	28.0349 	918.193
30 	10    	274.864 	28.0349 	918.193
31 	10    	300.036 	28.0349 	918.193
32 	10    	326.511 	64.5818 	918.193
33 	10    	326.511 	64.5818 	918.193
34 	10    	326.511 	64.5818 	918.193
35 	10    	326.511 	64.5818 	918.193
36 	10    	326.511 	64.5818 	918.193
37 	10    	326.511 	64.5818 	918.193
38 	10    	326.511 	64.5818 	918.193
39 	10    	326.511 	64.5818 	918.193
40 	10    	326.511 	64.5818 	918.193
41 	10    	326.511 	64.5818 	918.193
42 	10    	350.797 	64.5818 	918.193
43 	10    	356.314 	79.9412 	918.193
44 	10    	367.052 	79.9412 	918.193
45 	10    	390.36  	79.9412 	918.193
46 	10    	409.466 	79.9412 	918.193
47 	10    	416.242 	79.9412 	918.193
48 	10    	416.242 	79.9412 	918.193
49 	10    	416.242 	79.9412 	918.193
50 	10    	416.242 	79.9412 	918.193
51 	10    	419.754 	79.9412 	918.193
52 	10    	420.462 	79.9412 	918.193
53 	10    	420.462 	79.9412 	918.193
54 	10    	420.462 	79.9412 	918.193
55 	10    	420.462 	79.9412 	918.193
56 	10    	460.343 	79.9412 	918.193
57 	10    	460.343 	79.9412 	918.193
58 	10    	494.809 	79.9412 	1012.23
59 	10    	494.809 	79.9412 	1012.23
60 	10    	509.063 	184.663 	1012.23
61 	10    	519.766 	198.415 	1012.23
62 	10    	538.41  	198.415 	1012.23
63 	10    	538.41  	198.415 	1012.23
64 	10    	538.41  	198.415 	1012.23
65 	10    	539.156 	198.415 	1012.23
66 	10    	631.388 	198.415 	1206.91
67 	10    	631.388 	198.415 	1206.91
68 	10    	631.388 	198.415 	1206.91
69 	10    	631.388 	198.415 	1206.91
70 	10    	641.409 	291.685 	1206.91
71 	10    	641.409 	291.685 	1206.91
72 	10    	641.409 	291.685 	1206.91
73 	10    	641.409 	291.685 	1206.91
74 	10    	712.4   	312.867 	1206.91
75 	10    	730.95  	312.867 	1206.91
76 	10    	730.95  	312.867 	1206.91
77 	10    	730.95  	312.867 	1206.91
78 	10    	730.95  	312.867 	1206.91
79 	10    	730.95  	312.867 	1206.91
80 	10    	741.398 	312.867 	1206.91
81 	10    	753.273 	312.867 	1206.91
82 	10    	753.273 	312.867 	1206.91
83 	10    	753.273 	312.867 	1206.91
84 	10    	756.012 	312.867 	1206.91
85 	10    	756.012 	312.867 	1206.91
86 	10    	756.012 	312.867 	1206.91
87 	10    	756.012 	312.867 	1206.91
88 	10    	756.012 	312.867 	1206.91
89 	10    	756.012 	312.867 	1206.91
90 	10    	756.012 	312.867 	1206.91
91 	10    	756.012 	312.867 	1206.91
92 	10    	756.012 	312.867 	1206.91
93 	10    	756.012 	312.867 	1206.91
94 	10    	756.012 	312.867 	1206.91
95 	10    	756.012 	312.867 	1206.91
96 	10    	756.012 	312.867 	1206.91
97 	10    	756.012 	312.867 	1206.91
98 	10    	756.012 	312.867 	1206.91
99 	10    	756.012 	312.867 	1206.91
100	10    	756.012 	312.867 	1206.91
101	10    	756.012 	312.867 	1206.91
102	10    	756.012 	312.867 	1206.91
103	10    	756.012 	312.867 	1206.91
104	10    	756.012 	312.867 	1206.91
105	10    	756.012 	312.867 	1206.91
106	10    	765.478 	312.867 	1206.91
107	10    	765.478 	312.867 	1206.91
108	10    	765.478 	312.867 	1206.91
109	10    	765.478 	312.867 	1206.91
110	10    	776.442 	312.867 	1316.55
111	10    	776.442 	312.867 	1316.55
112	10    	780.272 	312.867 	1316.55
113	10    	784.518 	312.867 	1316.55
114	10    	784.518 	312.867 	1316.55
115	10    	784.518 	312.867 	1316.55
116	10    	784.518 	312.867 	1316.55
117	10    	784.518 	312.867 	1316.55
118	10    	784.518 	312.867 	1316.55
119	10    	784.518 	312.867 	1316.55
120	10    	784.518 	312.867 	1316.55
121	10    	784.518 	312.867 	1316.55
122	10    	817.646 	312.867 	1316.55
123	10    	817.646 	312.867 	1316.55
124	10    	822.338 	312.867 	1316.55
125	10    	822.338 	312.867 	1316.55
126	10    	840.562 	312.867 	1316.55
127	10    	840.562 	312.867 	1316.55
128	10    	853.481 	312.867 	1316.55
129	10    	881.87  	312.867 	1316.55
130	10    	881.87  	312.867 	1316.55
131	10    	881.87  	312.867 	1316.55
132	10    	881.87  	312.867 	1316.55
133	10    	881.87  	312.867 	1316.55
134	10    	881.87  	312.867 	1316.55
135	10    	881.87  	312.867 	1316.55
136	10    	881.87  	312.867 	1316.55
137	10    	881.87  	312.867 	1316.55
138	10    	881.87  	312.867 	1316.55
139	10    	881.87  	312.867 	1316.55
