gen	nevals	avg    	min  	max  
0  	25    	90     	77   	104  
1  	25    	93.6   	75.6 	107.2
2  	25    	97.896 	79.2 	117.2
3  	25    	100.944	78.6 	122  
4  	25    	100.776	88.8 	111.6
5  	25    	104.04 	82.6 	113.8
6  	25    	106.328	89.4 	122.8
7  	25    	105.712	80.8 	122  
8  	25    	105.104	82.8 	117  
9  	25    	108.128	93.6 	121.8
10 	25    	106.792	93   	120.6
11 	25    	108.568	98.6 	122.4
12 	25    	108.792	93.8 	122  
13 	25    	109.872	94.8 	125.6
14 	25    	110.824	95.8 	126.4
15 	25    	113.08 	96   	123  
16 	25    	114.688	103.6	129  
17 	25    	111.168	101.4	124.6
18 	25    	114.464	101  	132.6
19 	25    	111.68 	100.8	127.2
20 	25    	111.104	94.8 	123.8
21 	25    	115.36 	100.2	131.6
22 	25    	112.048	96.8 	127.2
23 	25    	112.592	90.4 	129.6
24 	25    	116.616	100.2	126.6
25 	25    	112.904	99.6 	139.8
26 	25    	112.848	99   	123.6
27 	25    	114.824	98.4 	132  
28 	25    	115.752	106.6	123.2
29 	25    	114.688	103  	129.6
30 	25    	113.528	101.8	125.2
31 	25    	115.608	98.8 	134.2
32 	25    	114.352	104.2	137.8
33 	25    	114.872	103.2	128.6
34 	25    	113.208	100.4	126.8
35 	25    	111.616	103.8	122.6
36 	25    	114.672	102.2	129  
37 	25    	116.12 	106.8	129.2
38 	25    	114.832	102.8	125.2
39 	25    	114.872	95.8 	125  
40 	25    	113.48 	97   	126.8
41 	25    	115.432	99.8 	129  
42 	25    	114.584	98.2 	128.2
43 	25    	115.384	102.8	126.6
44 	25    	112.776	99.6 	124.2
45 	25    	114.832	101.4	124.8
46 	25    	115.952	104.8	126.2
47 	25    	116.28 	107.6	125  
48 	25    	119.272	101.4	131.2
49 	25    	113.368	102.2	126.2
50 	25    	113.984	100.4	127.2
51 	25    	119.576	108.6	129.2
52 	25    	116.04 	102.6	134.8
53 	25    	115.056	99.4 	127  
54 	25    	115.136	107  	125  
55 	25    	115.88 	103.4	123.4
56 	25    	117.832	105.8	126.2
57 	25    	116.312	105.8	144.6
58 	25    	117.36 	105  	128.8
59 	25    	114.488	96.4 	128.6
60 	25    	115.728	101.8	127.2
61 	25    	114.048	99.8 	129  
62 	25    	116.816	102.4	130.2
63 	25    	113.44 	99.8 	125.4
64 	25    	116.544	105  	128.2
65 	25    	115.696	105.8	141.2
66 	25    	115.808	103.6	123.2
67 	25    	115.328	101.2	129.8
68 	25    	113.504	98.6 	130.4
69 	25    	116.264	103  	133.2
70 	25    	115.544	104.4	127.2
71 	25    	114.776	98.6 	134.2
72 	25    	115.512	104.8	127.6
73 	25    	114.768	99.4 	125.6
74 	25    	117.176	99.6 	131.6
75 	25    	117.544	109  	130.4
76 	25    	115.328	102.4	128.2
77 	25    	118.632	103.6	131.8
78 	25    	117.184	98.6 	133.8
79 	25    	114.208	102  	131.8
80 	25    	117.048	103.6	131.2
81 	25    	115.488	106.2	125.6
82 	25    	117.176	100  	136.2
83 	25    	115.128	100.2	127  
84 	25    	115.104	99.2 	126  
85 	25    	118.36 	107.4	132.2
86 	25    	117.136	102.6	124.6
87 	25    	117.424	106.8	129.2
88 	25    	114.968	98.6 	133  
89 	25    	115.872	99.4 	129.6
90 	25    	117.288	105.2	138.4
91 	25    	115.88 	98   	129.6
92 	25    	119.32 	108.2	131.4
93 	25    	120.224	106.6	130.6
94 	25    	117.656	101.2	136  
95 	25    	117.752	106.8	126.8
96 	25    	118.256	107  	134.2
97 	25    	118.304	104  	133.6
98 	25    	115.168	102.8	128.8
99 	25    	117.856	107.6	132.4
100	25    	117.152	104.8	132.2
101	25    	116.672	98.2 	129.6
102	25    	116.552	103.2	128.6
103	25    	116.736	105.4	132.2
104	25    	116.44 	99   	140.6
105	25    	118.136	92.8 	134  
106	25    	114.952	102.2	131.8
107	25    	115.976	101  	131  
108	25    	116.824	101.4	136.8
109	25    	118.36 	103.2	131.2
110	25    	117.216	103.4	133.8
111	25    	120.184	103.6	144.4
112	25    	116.992	105.8	130.2
113	25    	119.728	106  	138  
114	25    	119.784	100.8	135  
115	25    	116.744	97.2 	129  
116	25    	118.288	103.6	130  
117	25    	119.272	107.4	129.6
118	25    	117.08 	99.4 	128.2
119	25    	118.312	104  	132  
120	25    	116.512	104.8	128.8
121	25    	120.44 	99.8 	131.6
122	25    	116.816	103.6	130.2
123	25    	115.8  	100.2	132  
124	25    	115.688	98.8 	131  
125	25    	117.536	106.2	131  
126	25    	116.704	101.2	130.6
127	25    	116.976	98.4 	129.2
128	25    	115.848	99.4 	126  
129	25    	116.304	99.8 	130.6
130	25    	116.928	98.8 	130.4
131	25    	117    	107  	131.8
132	25    	120.368	100.2	132.2
133	25    	119.24 	107.6	135.8
134	25    	116.416	103.4	127.8
135	25    	118.576	109.6	126  
136	25    	116.312	103.6	126.6
137	25    	119.56 	104.4	134.4
138	25    	118.256	103.2	135.2
139	25    	117.912	104.4	132  
140	25    	116.208	104.6	129.4
141	25    	116.984	104.2	134  
142	25    	117.536	102  	128.8
143	25    	118.624	103.6	131.2
144	25    	118.336	99.4 	136.8
145	25    	117.768	106.6	131.4
146	25    	116.944	101.8	131.2
147	25    	117.896	104.4	129.8
148	25    	116.536	104.8	126.8
149	25    	116.032	102.8	126.4
150	25    	118.424	105.8	132.6
151	25    	119.36 	109  	139  
152	25    	117.08 	106.8	131.6
153	25    	114.896	102  	126.6
154	25    	115.744	100.2	133.2
155	25    	116.208	103  	128.4
156	25    	117.04 	104.6	135.8
157	25    	119.736	106.4	129.6
158	25    	117.312	107  	131.2
159	25    	118.224	101.8	127  
160	25    	116.008	103.2	131.8
161	25    	113.224	99.2 	126.4
162	25    	116.872	103.6	129.6
163	25    	116.712	103.4	129  
164	25    	117.104	104.4	128  
165	25    	115.72 	103  	130.6
166	25    	115.408	96.6 	126.8
167	25    	115.24 	100  	133.2
168	25    	117.112	103.8	132.8
169	25    	118.48 	109.6	128.4
170	25    	118.144	106  	135.4
171	25    	116.632	100.4	132.2
172	25    	116.488	103  	136.6
173	25    	116.88 	107.2	130.2
174	25    	113.128	99.4 	128.6
175	25    	113.144	98.6 	128  
176	25    	114.216	90.8 	131.6
177	25    	115.208	102.4	125.2
178	25    	113.192	103.4	125  
179	25    	117    	105.4	128.8
180	25    	115.096	103  	131.8
