gen	nevals	avg   	min  	max  
0  	20    	92.82 	77.8 	111.6
1  	20    	93.74 	76.6 	109.8
2  	20    	98.27 	83.6 	116.2
3  	20    	97.08 	84.8 	108.8
4  	20    	99.48 	82.6 	115.2
5  	20    	100.86	91.8 	112.8
6  	20    	101.04	83.8 	113.6
7  	20    	104.23	91.8 	124.6
8  	20    	106.89	90.6 	130.2
9  	20    	105.07	82.2 	119.6
10 	20    	109.93	95.4 	128  
11 	20    	107.45	92.4 	118.2
12 	20    	109.92	93.4 	122.2
13 	20    	106.53	89.2 	123  
14 	20    	108.01	86.6 	124.6
15 	20    	108.5 	92.6 	139  
16 	20    	108.75	92.6 	121.2
17 	20    	108.17	93.6 	131  
18 	20    	108.1 	93.2 	119.4
19 	20    	109.58	96.4 	122.2
20 	20    	111.91	94.8 	128.4
21 	20    	107.28	93.8 	123.8
22 	20    	110.15	96.4 	120  
23 	20    	111.04	99.2 	125.4
24 	20    	106.31	95   	116.4
25 	20    	105.05	90.2 	112.8
26 	20    	109.81	101  	125.4
27 	20    	109.4 	95.8 	118.6
28 	20    	108.54	79.4 	124.6
29 	20    	105.58	89.2 	119  
30 	20    	103.81	79.6 	116.2
31 	20    	110.73	92.6 	131.4
32 	20    	106.49	92   	117.4
33 	20    	105.92	93   	115.6
34 	20    	105.75	86   	125.4
35 	20    	106.67	93   	120.6
36 	20    	106.53	95.4 	114  
37 	20    	105.25	89.8 	116.2
38 	20    	109.48	97.6 	120.4
39 	20    	107.27	99.4 	118  
40 	20    	108.77	96.8 	119  
41 	20    	107.69	92.8 	117.4
42 	20    	106.04	91.2 	118.8
43 	20    	106.86	87.2 	123.6
44 	20    	108.59	100.6	122.2
45 	20    	109.22	93.8 	126.8
46 	20    	110.76	101.6	120.6
47 	20    	108.85	86   	128  
48 	20    	109.59	94   	125  
49 	20    	109.45	97.6 	121.4
50 	20    	109.27	97.8 	124  
51 	20    	110.17	99.4 	124.2
52 	20    	107.15	94.8 	117.2
53 	20    	109.28	96.4 	119.4
54 	20    	106.74	96.6 	115.8
55 	20    	104.79	82   	117.8
56 	20    	106.95	87.2 	124.6
57 	20    	107.36	95   	115.4
58 	20    	107.91	96.6 	123  
59 	20    	109.41	85   	123.6
60 	20    	109.33	94   	127.4
61 	20    	110.61	100.2	126.2
62 	20    	110.27	96.6 	132.6
63 	20    	110.02	93.6 	122.6
64 	20    	105.73	88.8 	124.2
65 	20    	107.99	87.8 	119.8
