gen	nevals	avg     	min      	max   
0  	25    	0.141625	0        	0.9875
1  	25    	0.417469	0        	1     
2  	25    	0.791813	0        	1     
3  	25    	0.818344	0        	1     
4  	25    	0.806219	0        	1     
5  	25    	0.880563	0.198437 	1     
6  	25    	0.919063	0        	1     
7  	25    	0.924344	0.619531 	1     
8  	25    	0.961844	0.791406 	1     
9  	25    	0.925969	0.791406 	1     
10 	25    	0.959344	0.823438 	1     
11 	25    	0.86975 	0.0109375	1     
12 	25    	0.876594	0        	1     
13 	25    	0.92575 	0.722656 	1     
14 	25    	0.933844	0.632812 	1     
15 	25    	0.898219	0.117188 	1     
16 	25    	0.918594	0.0398437	1     
17 	25    	0.953875	0.688281 	1     
18 	25    	0.913406	0.310937 	1     
19 	25    	0.964094	0.771094 	1     
20 	25    	0.95    	0.855469 	1     
21 	25    	0.877625	0        	1     
22 	25    	0.951406	0.69375  	1     
23 	25    	0.96175 	0.792188 	1     
24 	25    	0.925312	0.726562 	1     
25 	25    	0.955437	0.759375 	1     
26 	25    	0.96075 	0.819531 	1     
27 	25    	0.947375	0.836719 	1     
28 	25    	0.897219	0        	1     
29 	25    	0.94275 	0.7      	1     
30 	25    	0.897688	0.148438 	1     
31 	25    	0.889125	0        	1     
32 	25    	0.972406	0.847656 	1     
33 	25    	0.92475 	0.742188 	1     
34 	25    	0.962656	0.854688 	1     
35 	25    	0.964844	0.725781 	1     
36 	25    	0.940844	0.478125 	1     
37 	25    	0.955094	0.813281 	1     
38 	25    	0.94825 	0.758594 	1     
39 	25    	0.957687	0.8375   	1     
40 	25    	0.94025 	0.40625  	1     
41 	25    	0.931875	0.357031 	1     
42 	25    	0.928406	0.433594 	1     
43 	25    	0.952438	0.776563 	1     
44 	25    	0.925125	0.60625  	1     
45 	25    	0.976156	0.898438 	1     
46 	25    	0.963406	0.84375  	1     
47 	25    	0.951594	0.757812 	1     
48 	25    	0.874281	0        	1     
49 	25    	0.911344	0        	1     
50 	25    	0.912188	0.0765625	1     
