gen	nevals	avg      	min      	max      
0  	25    	0.0147188	0        	0.0921875
1  	25    	0.0650625	0        	0.842969 
2  	25    	0.190906 	0        	0.978125 
3  	25    	0.401031 	0.0046875	1        
4  	25    	0.46375  	0        	1        
5  	25    	0.699187 	0        	1        
6  	25    	0.90625  	0.0171875	1        
7  	25    	0.90075  	0.0234375	1        
8  	25    	0.929188 	0.0476562	1        
9  	25    	0.896531 	0.0375   	1        
10 	25    	0.875594 	0.0078125	1        
11 	25    	0.883719 	0.046875 	1        
12 	25    	0.8625   	0.01875  	1        
13 	25    	0.939344 	0.0515625	1        
14 	25    	0.957187 	0.864844 	1        
15 	25    	0.949844 	0.802344 	1        
16 	25    	0.921875 	0.199219 	1        
17 	25    	0.827969 	0        	1        
18 	25    	0.872875 	0.0078125	1        
19 	25    	0.861188 	0.0101563	1        
20 	25    	0.932344 	0        	1        
21 	25    	0.892375 	0        	1        
22 	25    	0.946813 	0.842969 	1        
23 	25    	0.9365   	0.665625 	1        
24 	25    	0.945969 	0.677344 	1        
25 	25    	0.930656 	0.116406 	1        
26 	25    	0.933688 	0.646875 	1        
27 	25    	0.867688 	0        	1        
28 	25    	0.909031 	0.11875  	1        
29 	25    	0.9525   	0.830469 	1        
30 	25    	0.871312 	0.0328125	1        
31 	25    	0.883875 	0.0203125	1        
32 	25    	0.893469 	0        	1        
33 	25    	0.909469 	0        	1        
34 	25    	0.91975  	0        	1        
35 	25    	0.962062 	0.827344 	1        
36 	25    	0.934688 	0.623437 	1        
37 	25    	0.945313 	0.760938 	1        
38 	25    	0.950188 	0.752344 	1        
39 	25    	0.958188 	0.742969 	1        
40 	25    	0.94925  	0.841406 	1        
41 	25    	0.95525  	0.829688 	1        
42 	25    	0.907    	0        	1        
43 	25    	0.951875 	0.839844 	1        
44 	25    	0.913375 	0.407031 	1        
45 	25    	0.8975   	0.0757812	1        
46 	25    	0.8975   	0.235156 	1        
47 	25    	0.907219 	0.129688 	1        
48 	25    	0.954187 	0.796875 	1        
49 	25    	0.966156 	0.840625 	1        
50 	25    	0.94475  	0.827344 	1        
51 	25    	0.924781 	0.0101563	1        
52 	25    	0.942781 	0.789062 	1        
53 	25    	0.960063 	0.764844 	1        
54 	25    	0.948281 	0.760938 	1        
55 	25    	0.865406 	0        	1        
56 	25    	0.940469 	0.729688 	1        
57 	25    	0.920469 	0        	1        
58 	25    	0.894    	0        	1        
59 	25    	0.873719 	0.0273438	1        
60 	25    	0.884875 	0        	1        
61 	25    	0.873469 	0        	1        
62 	25    	0.888469 	0.0523438	1        
63 	25    	0.8965   	0        	1        
64 	25    	0.81325  	0.0570312	1        
65 	25    	0.825875 	0        	1        
66 	25    	0.948313 	0.825781 	1        
67 	25    	0.9365   	0.594531 	1        
68 	25    	0.919094 	0        	1        
69 	25    	0.889281 	0.0078125	1        
70 	25    	0.920156 	0.121875 	1        
71 	25    	0.956625 	0.845313 	1        
72 	25    	0.930812 	0.0984375	1        
73 	25    	0.913812 	0.0703125	1        
74 	25    	0.902656 	0.053125 	1        
75 	25    	0.952094 	0.889844 	1        
76 	25    	0.841625 	0        	1        
77 	25    	0.91     	0.114844 	1        
78 	25    	0.907969 	0        	1        
79 	25    	0.916906 	0.157031 	1        
80 	25    	0.924344 	0        	1        
81 	25    	0.92825  	0.275781 	1        
82 	25    	0.897625 	0        	1        
83 	25    	0.836562 	0        	1        
84 	25    	0.854281 	0        	1        
85 	25    	0.949625 	0.820312 	1        
86 	25    	0.903094 	0        	1        
87 	25    	0.893031 	0.591406 	1        
88 	25    	0.919187 	0.726562 	1        
89 	25    	0.851219 	0        	1        
90 	25    	0.8915   	0.1125   	1        
91 	25    	0.893531 	0        	1        
92 	25    	0.878781 	0        	1        
93 	25    	0.913906 	0.0953125	1        
94 	25    	0.929344 	0.0929688	1        
95 	25    	0.910563 	0.115625 	1        
96 	25    	0.916156 	0        	1        
97 	25    	0.893656 	0.0585938	1        
98 	25    	0.952031 	0.799219 	1        
99 	25    	0.781625 	0        	1        
100	25    	0.859062 	0        	1        
