gen 	nevals	avg      	min       	max     
0   	25    	0.0974375	0         	0.595313
1   	25    	0.126812 	0         	0.442969
2   	25    	0.207594 	0         	0.625   
3   	25    	0.265719 	0         	0.502344
4   	25    	0.341625 	0         	0.65    
5   	25    	0.319406 	0.015625  	0.622656
6   	25    	0.351375 	0.00625   	0.655469
7   	25    	0.364469 	0         	0.760156
8   	25    	0.389469 	0         	0.639062
9   	25    	0.407938 	0         	0.724219
10  	25    	0.467469 	0.192188  	0.764062
11  	25    	0.404563 	0.0015625 	0.697656
12  	25    	0.474594 	0         	0.721875
13  	25    	0.395969 	0         	0.703125
14  	25    	0.413969 	0.0046875 	0.688281
15  	25    	0.495531 	0.0421875 	0.815625
16  	25    	0.491563 	0.0601563 	0.710156
17  	25    	0.427656 	0         	0.759375
18  	25    	0.409656 	0.0515625 	0.742188
19  	25    	0.424625 	0         	0.671875
20  	25    	0.467781 	0         	0.678125
21  	25    	0.480563 	0         	0.80625 
22  	25    	0.487094 	0         	0.785937
23  	25    	0.547687 	0.28125   	0.69375 
24  	25    	0.600688 	0.207031  	0.967969
25  	25    	0.491375 	0         	0.715625
26  	25    	0.470719 	0.0125    	0.696094
27  	25    	0.538594 	0         	0.880469
28  	25    	0.434063 	0         	0.808594
29  	25    	0.551    	0.0757812 	0.821094
30  	25    	0.580781 	0.466406  	0.807813
31  	25    	0.560813 	0.05625   	0.819531
32  	25    	0.568531 	0.257812  	0.846875
33  	25    	0.532594 	0.00390625	0.719531
34  	25    	0.614563 	0.309375  	0.909375
35  	25    	0.611    	0.445312  	0.795312
36  	25    	0.576375 	0.225     	0.797656
37  	25    	0.551156 	0.350781  	0.746094
38  	25    	0.574594 	0.228125  	0.799219
39  	25    	0.55075  	0.207031  	0.885938
40  	25    	0.550937 	0.392188  	0.698438
41  	25    	0.634531 	0.360938  	0.813281
42  	25    	0.596656 	0.191406  	0.814844
43  	25    	0.632687 	0.439063  	0.839844
44  	25    	0.592187 	0.396875  	0.853125
45  	25    	0.637875 	0.505469  	0.846875
46  	25    	0.594562 	0.382812  	0.760938
47  	25    	0.631969 	0.390625  	0.847656
48  	25    	0.597313 	0.415625  	0.741406
49  	25    	0.549125 	0.321094  	0.839844
50  	25    	0.573906 	0.380469  	0.74375 
51  	25    	0.611031 	0.400781  	0.876563
52  	25    	0.5425   	0.0515625 	0.86875 
53  	25    	0.580937 	0.316406  	0.775781
54  	25    	0.612437 	0.392969  	0.8625  
55  	25    	0.551844 	0.410938  	0.867188
56  	25    	0.595437 	0.395313  	0.840625
57  	25    	0.582031 	0.182031  	0.740625
58  	25    	0.57375  	0.433594  	0.760156
59  	25    	0.597312 	0.458594  	0.782813
60  	25    	0.580531 	0         	0.760156
61  	25    	0.580406 	0.084375  	0.827344
62  	25    	0.5875   	0.321094  	0.741406
63  	25    	0.620156 	0.396875  	0.848437
64  	25    	0.580625 	0.255469  	0.814844
65  	25    	0.593844 	0.378906  	0.833594
66  	25    	0.659781 	0.482031  	0.817969
67  	25    	0.588094 	0.417187  	0.81875 
68  	25    	0.637406 	0.452344  	0.85625 
69  	25    	0.616563 	0.465625  	0.910156
70  	25    	0.600156 	0.389844  	0.872656
71  	25    	0.560844 	0.365625  	0.767969
72  	25    	0.558187 	0.283594  	0.780469
73  	25    	0.558656 	0.203125  	0.733594
74  	25    	0.537344 	0.347656  	0.703906
75  	25    	0.60175  	0.3625    	0.832031
76  	25    	0.622062 	0.361719  	0.782813
77  	25    	0.625938 	0.425781  	0.882812
78  	25    	0.644312 	0.410156  	0.833594
79  	25    	0.564844 	0         	0.733594
80  	25    	0.567031 	0.00234375	0.771094
81  	25    	0.576844 	0.109375  	0.776563
82  	25    	0.588594 	0.384375  	0.844531
83  	25    	0.578406 	0         	0.841406
84  	25    	0.547438 	0.1125    	0.827344
85  	25    	0.600375 	0.4375    	0.767188
86  	25    	0.63725  	0.447656  	0.891406
87  	25    	0.605313 	0.332031  	0.804688
88  	25    	0.554625 	0.209375  	0.777344
89  	25    	0.620094 	0.407031  	0.791406
90  	25    	0.571219 	0         	0.840625
91  	25    	0.580469 	0.342187  	0.727344
92  	25    	0.583656 	0.446094  	0.758594
93  	25    	0.608812 	0.442188  	0.757812
94  	25    	0.619125 	0.352344  	0.853125
95  	25    	0.62     	0.39375   	0.847656
96  	25    	0.548313 	0.225     	0.727344
97  	25    	0.601344 	0.403125  	0.825781
98  	25    	0.569594 	0.342187  	0.769531
99  	25    	0.594375 	0.127344  	0.867188
100 	25    	0.541281 	0.369531  	0.710938
101 	25    	0.594562 	0.346094  	0.841406
102 	25    	0.600125 	0.444531  	0.83125 
103 	25    	0.543906 	0.229687  	0.883594
104 	25    	0.592719 	0.371875  	0.808594
105 	25    	0.603281 	0.260937  	0.794531
106 	25    	0.6115   	0.453906  	0.838281
107 	25    	0.599156 	0.430469  	0.824219
108 	25    	0.606781 	0.460156  	0.85    
109 	25    	0.595156 	0.389844  	0.775   
110 	25    	0.610812 	0.0398437 	0.894531
111 	25    	0.568813 	0.0875    	0.78125 
112 	25    	0.623312 	0.453125  	0.88125 
113 	25    	0.618219 	0.427344  	0.766406
114 	25    	0.597031 	0.41875   	0.751563
115 	25    	0.624719 	0.449219  	0.823438
116 	25    	0.608812 	0.234375  	0.823438
117 	25    	0.600688 	0.0132812 	0.871875
118 	25    	0.581937 	0.285156  	0.755469
119 	25    	0.60125  	0.275781  	0.807031
120 	25    	0.615563 	0.350781  	0.916406
121 	25    	0.592719 	0.164062  	0.764062
122 	25    	0.599406 	0.201563  	0.801562
123 	25    	0.574625 	0.335156  	0.804688
124 	25    	0.592031 	0.44375   	0.838281
125 	25    	0.57775  	0.353125  	0.832031
126 	25    	0.579719 	0.457031  	0.734375
127 	25    	0.592563 	0.429688  	0.794531
128 	25    	0.542031 	0.0710937 	0.816406
129 	25    	0.591688 	0.341406  	0.830469
130 	25    	0.613    	0.366406  	0.858594
131 	25    	0.598    	0.365625  	0.985156
132 	25    	0.561781 	0.364844  	0.717187
133 	25    	0.588969 	0.369531  	0.8     
134 	25    	0.600375 	0.453906  	0.817969
135 	25    	0.55225  	0.0460938 	0.745313
136 	25    	0.53375  	0         	0.750781
137 	25    	0.568031 	0.075     	0.726562
138 	25    	0.584719 	0.116406  	0.894531
139 	25    	0.567094 	0.289062  	0.739844
140 	25    	0.582531 	0.0304687 	0.8375  
141 	25    	0.5785   	0.084375  	0.878906
142 	25    	0.546875 	0.294531  	0.810156
143 	25    	0.613125 	0.226562  	0.811719
144 	25    	0.620594 	0.404687  	0.851562
145 	25    	0.581187 	0.426563  	0.728125
146 	25    	0.603187 	0.433594  	0.823438
147 	25    	0.61225  	0.00625   	0.780469
148 	25    	0.624875 	0.43125   	0.817969
149 	25    	0.553594 	0.203125  	0.796875
150 	25    	0.546969 	0.31875   	0.803125
151 	25    	0.606969 	0.434375  	0.771875
152 	25    	0.555625 	0.355469  	0.771875
153 	25    	0.581313 	0.425     	0.783594
154 	25    	0.536969 	0.115625  	0.724219
155 	25    	0.580562 	0.0140625 	0.784375
156 	25    	0.609187 	0.310156  	0.8625  
157 	25    	0.578375 	0.015625  	0.86875 
158 	25    	0.588906 	0.00546875	0.780469
159 	25    	0.584313 	0.40625   	0.884375
160 	25    	0.536125 	0.386719  	0.715625
161 	25    	0.560344 	0.0484375 	0.8125  
162 	25    	0.567719 	0.282813  	0.79375 
163 	25    	0.6195   	0.433594  	0.835156
164 	25    	0.56175  	0.265625  	0.772656
165 	25    	0.580531 	0.357812  	0.727344
166 	25    	0.596844 	0.369531  	0.860938
167 	25    	0.656344 	0.363281  	0.88125 
168 	25    	0.547    	0.0726563 	0.809375
169 	25    	0.539469 	0.411719  	0.696094
170 	25    	0.597    	0.385937  	0.807031
171 	25    	0.592281 	0.438281  	0.769531
172 	25    	0.621563 	0.316406  	0.790625
173 	25    	0.570562 	0.277344  	0.742969
174 	25    	0.537156 	0         	0.7875  
175 	25    	0.556437 	0         	0.782031
176 	25    	0.604938 	0.302344  	0.7875  
177 	25    	0.5655   	0.34375   	0.866406
178 	25    	0.516813 	0         	0.732812
179 	25    	0.611219 	0.386719  	0.876563
180 	25    	0.572406 	0.367969  	0.794531
181 	25    	0.552938 	0.180469  	0.89375 
182 	25    	0.572937 	0         	0.867188
183 	25    	0.619531 	0.450781  	0.81875 
184 	25    	0.571906 	0.009375  	0.824219
185 	25    	0.576969 	0.336719  	0.814844
186 	25    	0.596063 	0.319531  	0.855469
187 	25    	0.635625 	0.497656  	0.773438
188 	25    	0.566719 	0.407813  	0.797656
189 	25    	0.559969 	0         	0.921875
190 	25    	0.552031 	0         	0.729688
191 	25    	0.603812 	0         	0.871094
192 	25    	0.603844 	0.380469  	0.765625
193 	25    	0.562156 	0.396875  	0.708594
194 	25    	0.577531 	0.3875    	0.738281
195 	25    	0.550375 	0.0359375 	0.796094
196 	25    	0.576562 	0.282813  	0.847656
197 	25    	0.593781 	0.392969  	0.8625  
198 	25    	0.585688 	0         	0.850781
199 	25    	0.564031 	0.0601563 	0.739062
200 	25    	0.542312 	0.207031  	0.758594
201 	25    	0.552531 	0.163281  	0.782813
202 	25    	0.527594 	0         	0.814063
203 	25    	0.582875 	0.297656  	0.776563
204 	25    	0.590938 	0.0648438 	0.755469
205 	25    	0.589594 	0.266406  	0.707812
206 	25    	0.555312 	0.100781  	0.864062
207 	25    	0.530937 	0.009375  	0.784375
208 	25    	0.55475  	0.258594  	0.749219
209 	25    	0.5485   	0         	0.846875
210 	25    	0.540375 	0         	0.733594
211 	25    	0.569656 	0.388281  	0.770312
212 	25    	0.565937 	0.103906  	0.750781
213 	25    	0.543125 	0         	0.808594
214 	25    	0.503125 	0         	0.796875
215 	25    	0.593094 	0.450781  	0.759375
216 	25    	0.5425   	0         	0.807031
217 	25    	0.557469 	0.157031  	0.733594
218 	25    	0.584969 	0.364844  	0.808594
219 	25    	0.592531 	0.3375    	0.796875
220 	25    	0.554188 	0.228906  	0.751563
221 	25    	0.550437 	0.278125  	0.879687
222 	25    	0.58775  	0.0726563 	0.754687
223 	25    	0.567781 	0         	0.799219
224 	25    	0.581406 	0.385937  	0.882031
225 	25    	0.535125 	0.0125    	0.832812
226 	25    	0.5545   	0         	0.766406
227 	25    	0.546844 	0.0101563 	0.783594
228 	25    	0.517563 	0         	0.880469
229 	25    	0.571906 	0         	0.814844
230 	25    	0.541219 	0         	0.803125
231 	25    	0.575406 	0         	0.763281
232 	25    	0.531188 	0         	0.771094
233 	25    	0.552687 	0         	0.79375 
234 	25    	0.561125 	0.276562  	0.769531
235 	25    	0.541312 	0.289062  	0.763281
236 	25    	0.580031 	0.142969  	0.78125 
237 	25    	0.551406 	0         	0.813281
238 	25    	0.543813 	0.00546875	0.728906
239 	25    	0.611094 	0.38125   	0.83125 
240 	25    	0.556375 	0.136719  	0.885156
241 	25    	0.581906 	0         	0.919531
242 	25    	0.596187 	0.373437  	0.792969
243 	25    	0.53     	0         	0.672656
244 	25    	0.57225  	0.338281  	0.799219
245 	25    	0.563531 	0.321094  	0.738281
246 	25    	0.55075  	0.0179687 	0.765625
247 	25    	0.518969 	0.0148437 	0.738281
248 	25    	0.523406 	0.00703125	0.851562
249 	25    	0.574594 	0         	0.79375 
250 	25    	0.554063 	0.205469  	0.810156
251 	25    	0.552438 	0.009375  	0.885156
252 	25    	0.580906 	0.428125  	0.707812
253 	25    	0.578625 	0.351562  	0.832031
254 	25    	0.583187 	0.404687  	0.754687
255 	25    	0.615563 	0.439063  	0.849219
256 	25    	0.514406 	0         	0.7375  
257 	25    	0.564719 	0.110937  	0.875   
258 	25    	0.553594 	0         	0.811719
259 	25    	0.574281 	0         	0.803125
260 	25    	0.539937 	0         	0.779687
261 	25    	0.5685   	0.129688  	0.773438
262 	25    	0.562813 	0.346875  	0.801562
263 	25    	0.545281 	0.00625   	0.863281
264 	25    	0.551594 	0.141406  	0.841406
265 	25    	0.558719 	0         	0.813281
266 	25    	0.534719 	0         	0.773438
267 	25    	0.596813 	0.425     	0.795312
268 	25    	0.577062 	0.31875   	0.747656
269 	25    	0.57375  	0.0585938 	0.758594
270 	25    	0.642813 	0.365625  	0.903125
271 	25    	0.60375  	0.355469  	0.85625 
272 	25    	0.593812 	0.39375   	0.79375 
273 	25    	0.572187 	0         	0.759375
274 	25    	0.52975  	0         	0.792188
275 	25    	0.56525  	0         	0.884375
276 	25    	0.558156 	0         	0.716406
277 	25    	0.594844 	0.0328125 	0.814844
278 	25    	0.623781 	0.41875   	0.877344
279 	25    	0.630875 	0.425781  	0.81875 
280 	25    	0.61425  	0.382031  	0.783594
281 	25    	0.602938 	0.0320312 	0.755469
282 	25    	0.641062 	0.354687  	0.841406
283 	25    	0.590187 	0.0632812 	0.819531
284 	25    	0.546594 	0.0609375 	0.810937
285 	25    	0.544312 	0.021875  	0.879687
286 	25    	0.624719 	0.449219  	0.777344
287 	25    	0.573937 	0.239063  	0.7625  
288 	25    	0.577844 	0.0078125 	0.780469
289 	25    	0.622125 	0.394531  	0.810937
290 	25    	0.603156 	0         	0.888281
291 	25    	0.599906 	0.426563  	0.767188
292 	25    	0.582437 	0         	0.765625
293 	25    	0.561375 	0.04375   	0.788281
294 	25    	0.564844 	0         	0.828125
295 	25    	0.58625  	0.0109375 	0.866406
296 	25    	0.6      	0.166406  	0.828125
297 	25    	0.562312 	0.15625   	0.805469
298 	25    	0.548219 	0         	0.854688
299 	25    	0.579813 	0.175     	0.810937
300 	25    	0.604062 	0.297656  	0.817969
301 	25    	0.556063 	0.303125  	0.807031
302 	25    	0.552719 	0.0460938 	0.775   
303 	25    	0.614156 	0.404687  	0.895312
304 	25    	0.613781 	0.172656  	0.798438
305 	25    	0.594219 	0.0570312 	0.782031
306 	25    	0.565469 	0         	0.833594
307 	25    	0.603906 	0.416406  	0.751563
308 	25    	0.596062 	0.360156  	0.792188
309 	25    	0.571906 	0.015625  	0.721094
310 	25    	0.580937 	0.0976562 	0.789844
311 	25    	0.587062 	0         	0.832031
312 	25    	0.63075  	0.408594  	0.822656
313 	25    	0.607594 	0.214062  	0.84375 
314 	25    	0.605687 	0.0179687 	0.783594
315 	25    	0.649375 	0.33125   	0.892969
316 	25    	0.56625  	0         	0.792969
317 	25    	0.556    	0         	0.8375  
318 	25    	0.5995   	0.432812  	0.728125
319 	25    	0.606094 	0         	0.845313
320 	25    	0.501031 	0         	0.769531
321 	25    	0.5085   	0.009375  	0.896094
322 	25    	0.543063 	0         	0.817969
323 	25    	0.483844 	0         	0.713281
324 	25    	0.523656 	0         	0.744531
325 	25    	0.59225  	0         	0.842969
326 	25    	0.578625 	0.065625  	0.78125 
327 	25    	0.520687 	0         	0.748437
328 	25    	0.508844 	0         	0.696875
329 	25    	0.515719 	0         	0.892969
330 	25    	0.564406 	0         	0.857031
331 	25    	0.466469 	0         	0.727344
332 	25    	0.578781 	0         	0.840625
333 	25    	0.580969 	0         	0.807813
334 	25    	0.558719 	0         	0.903125
335 	25    	0.505281 	0         	0.814063
336 	25    	0.584125 	0.266406  	0.780469
337 	25    	0.569062 	0.0335937 	0.832812
338 	25    	0.567625 	0         	0.810156
339 	25    	0.39675  	0         	0.680469
340 	25    	0.590531 	0         	0.754687
341 	25    	0.533875 	0         	0.851562
342 	25    	0.540063 	0         	0.842187
343 	25    	0.521031 	0         	0.771094
344 	25    	0.52375  	0         	0.860156
345 	25    	0.600875 	0         	0.939063
346 	25    	0.544344 	0         	0.809375
347 	25    	0.5105   	0         	0.850781
348 	25    	0.582937 	0         	0.789844
349 	25    	0.5125   	0         	0.809375
350 	25    	0.475656 	0         	0.758594
351 	25    	0.513437 	0.0109375 	0.904687
352 	25    	0.522469 	0         	0.786719
353 	25    	0.450844 	0         	0.861719
354 	25    	0.467875 	0         	0.835938
355 	25    	0.550187 	0         	0.935156
356 	25    	0.524531 	0         	0.832031
357 	25    	0.537031 	0.0460938 	0.773438
358 	25    	0.513938 	0.0210938 	0.891406
359 	25    	0.559625 	0         	0.801562
360 	25    	0.533281 	0         	0.810156
361 	25    	0.558125 	0.0210938 	0.803125
362 	25    	0.531687 	0         	0.7625  
363 	25    	0.553563 	0.08125   	0.779687
364 	25    	0.481531 	0         	0.739062
365 	25    	0.556562 	0.00703125	0.803125
366 	25    	0.61675  	0.4       	0.846094
367 	25    	0.51     	0         	0.752344
368 	25    	0.510188 	0         	0.85625 
369 	25    	0.54225  	0.154688  	0.75625 
370 	25    	0.545    	0.0742188 	0.747656
371 	25    	0.537438 	0         	0.769531
372 	25    	0.554344 	0.173437  	0.782031
373 	25    	0.592687 	0.0492187 	0.796875
374 	25    	0.5845   	0.4       	0.735156
375 	25    	0.592094 	0.326562  	0.765625
376 	25    	0.572531 	0         	0.841406
377 	25    	0.570625 	0         	0.846094
378 	25    	0.635031 	0.195312  	0.815625
379 	25    	0.590875 	0         	0.817187
380 	25    	0.585063 	0.38125   	0.728125
381 	25    	0.560781 	0.321875  	0.774219
382 	25    	0.5485   	0         	0.815625
383 	25    	0.600219 	0.148438  	0.811719
384 	25    	0.622375 	0.464844  	0.820312
385 	25    	0.589531 	0.382812  	0.769531
386 	25    	0.57225  	0         	0.7375  
387 	25    	0.5565   	0         	0.855469
388 	25    	0.601375 	0         	0.841406
389 	25    	0.625656 	0.44375   	0.86875 
390 	25    	0.557469 	0.00546875	0.721094
391 	25    	0.599969 	0.416406  	0.878125
392 	25    	0.551469 	0.0570312 	0.811719
393 	25    	0.571219 	0.453125  	0.721094
394 	25    	0.630906 	0.330469  	0.8375  
395 	25    	0.597219 	0.0148437 	0.824219
396 	25    	0.536531 	0         	0.804688
397 	25    	0.503031 	0         	0.739844
398 	25    	0.567031 	0         	0.810937
399 	25    	0.546594 	0.0078125 	0.785156
400 	25    	0.582625 	0.428906  	0.86875 
401 	25    	0.5845   	0.03125   	0.900781
402 	25    	0.587687 	0.374219  	0.810937
403 	25    	0.61925  	0.433594  	0.835156
404 	25    	0.605469 	0.435156  	0.8875  
405 	25    	0.610313 	0.45625   	0.813281
406 	25    	0.608344 	0.399219  	0.882031
407 	25    	0.631344 	0.372656  	0.801562
408 	25    	0.621062 	0.430469  	0.858594
409 	25    	0.605969 	0.382812  	0.903125
410 	25    	0.592187 	0.378906  	0.825   
411 	25    	0.59875  	0.432031  	0.839844
412 	25    	0.566437 	0.3125    	0.773438
413 	25    	0.629687 	0.45      	0.792969
414 	25    	0.597281 	0.430469  	0.775781
415 	25    	0.62025  	0.451562  	0.747656
416 	25    	0.616938 	0.44375   	0.794531
417 	25    	0.620719 	0.347656  	0.804688
418 	25    	0.593031 	0.310937  	0.827344
419 	25    	0.599344 	0.460156  	0.766406
420 	25    	0.591406 	0.125781  	0.899219
421 	25    	0.61275  	0.339062  	0.867969
422 	25    	0.593625 	0.00234375	0.767969
423 	25    	0.563969 	0.203125  	0.807813
424 	25    	0.588625 	0.00859375	0.791406
425 	25    	0.576187 	0.00703125	0.751563
426 	25    	0.563563 	0         	0.746094
427 	25    	0.575313 	0.333594  	0.735156
428 	25    	0.618062 	0.454688  	0.779687
429 	25    	0.609844 	0.449219  	0.846875
430 	25    	0.593719 	0.401562  	0.850781
431 	25    	0.61875  	0.385937  	0.775   
432 	25    	0.57375  	0.0148437 	0.828906
433 	25    	0.579438 	0.389844  	0.835938
434 	25    	0.581094 	0.128125  	0.839063
435 	25    	0.555625 	0         	0.778125
436 	25    	0.577406 	0.0226562 	0.884375
437 	25    	0.619844 	0.432031  	0.898438
438 	25    	0.600812 	0.179688  	0.828125
439 	25    	0.610594 	0.374219  	0.749219
440 	25    	0.578281 	0         	0.808594
441 	25    	0.544656 	0         	0.817969
442 	25    	0.553531 	0         	0.797656
443 	25    	0.642406 	0.479687  	0.914844
444 	25    	0.505687 	0         	0.810156
445 	25    	0.58175  	0.421875  	0.79375 
446 	25    	0.580219 	0.0289063 	0.723437
447 	25    	0.532844 	0.0617188 	0.748437
448 	25    	0.566313 	0.217969  	0.730469
449 	25    	0.586094 	0.342187  	0.860156
450 	25    	0.585531 	0         	0.826562
451 	25    	0.58575  	0.351562  	0.817187
452 	25    	0.6215   	0.471094  	0.797656
453 	25    	0.615875 	0.402344  	0.832031
454 	25    	0.560281 	0.00625   	0.792969
455 	25    	0.574625 	0.0015625 	0.83125 
456 	25    	0.614156 	0.280469  	0.802344
457 	25    	0.582031 	0         	0.777344
458 	25    	0.5815   	0.230469  	0.7375  
