gen	nevals	avg     	min     	max     
0  	10    	0.312134	0.312134	0.312134
1  	10    	0.312134	0.312134	0.312134
2  	10    	0.312134	0.312134	0.312134
3  	10    	0.312134	0.312134	0.312134
4  	10    	0.312134	0.312134	0.312134
5  	10    	0.312134	0.312134	0.312134
6  	10    	0.312134	0.312134	0.312134
7  	10    	0.312134	0.312134	0.312134
8  	10    	0.312134	0.312134	0.312134
9  	10    	0.312134	0.312134	0.312134
10 	10    	0.312134	0.312134	0.312134
11 	10    	0.312134	0.312134	0.312134
12 	10    	0.312134	0.312134	0.312134
13 	10    	0.312134	0.312134	0.312134
14 	10    	0.312134	0.312134	0.312134
15 	10    	0.312134	0.312134	0.312134
16 	10    	0.312134	0.312134	0.312134
17 	10    	0.312134	0.312134	0.312134
18 	10    	0.312134	0.312134	0.312134
19 	10    	0.312134	0.312134	0.312134
20 	10    	0.312134	0.312134	0.312134
21 	10    	0.312134	0.312134	0.312134
22 	10    	0.312134	0.312134	0.312134
23 	10    	0.312134	0.312134	0.312134
24 	10    	0.312134	0.312134	0.312134
25 	10    	0.312134	0.312134	0.312134
26 	10    	0.312134	0.312134	0.312134
27 	10    	0.312134	0.312134	0.312134
28 	10    	0.312134	0.312134	0.312134
29 	10    	0.312134	0.312134	0.312134
30 	10    	0.312134	0.312134	0.312134
31 	10    	0.312134	0.312134	0.312134
32 	10    	0.312134	0.312134	0.312134
33 	10    	0.312134	0.312134	0.312134
34 	10    	0.312134	0.312134	0.312134
35 	10    	0.312134	0.312134	0.312134
36 	10    	0.312134	0.312134	0.312134
37 	10    	0.312134	0.312134	0.312134
38 	10    	0.312134	0.312134	0.312134
39 	10    	0.312134	0.312134	0.312134
40 	10    	0.312134	0.312134	0.312134
41 	10    	0.312134	0.312134	0.312134
42 	10    	0.312134	0.312134	0.312134
43 	10    	0.312134	0.312134	0.312134
44 	10    	0.312134	0.312134	0.312134
45 	10    	0.312134	0.312134	0.312134
46 	10    	0.312134	0.312134	0.312134
47 	10    	0.312134	0.312134	0.312134
48 	10    	0.312134	0.312134	0.312134
49 	10    	0.312134	0.312134	0.312134
50 	10    	0.312134	0.312134	0.312134
51 	10    	0.312134	0.312134	0.312134
52 	10    	0.312134	0.312134	0.312134
53 	10    	0.312134	0.312134	0.312134
54 	10    	0.312134	0.312134	0.312134
55 	10    	0.312134	0.312134	0.312134
56 	10    	0.312134	0.312134	0.312134
57 	10    	0.312134	0.312134	0.312134
58 	10    	0.312134	0.312134	0.312134
59 	10    	0.312134	0.312134	0.312134
60 	10    	0.312134	0.312134	0.312134
61 	10    	0.312134	0.312134	0.312134
62 	10    	0.312134	0.312134	0.312134
63 	10    	0.312134	0.312134	0.312134
64 	10    	0.312134	0.312134	0.312134
65 	10    	0.312134	0.312134	0.312134
66 	10    	0.312134	0.312134	0.312134
67 	10    	0.312134	0.312134	0.312134
68 	10    	0.312134	0.312134	0.312134
69 	10    	0.312134	0.312134	0.312134
70 	10    	0.312134	0.312134	0.312134
71 	10    	0.312134	0.312134	0.312134
72 	10    	0.312134	0.312134	0.312134
73 	10    	0.312134	0.312134	0.312134
74 	10    	0.312134	0.312134	0.312134
75 	10    	0.312134	0.312134	0.312134
76 	10    	0.312134	0.312134	0.312134
77 	10    	0.312134	0.312134	0.312134
78 	10    	0.312134	0.312134	0.312134
79 	10    	0.312134	0.312134	0.312134
80 	10    	0.312134	0.312134	0.312134
81 	10    	0.312134	0.312134	0.312134
82 	10    	0.312134	0.312134	0.312134
83 	10    	0.312134	0.312134	0.312134
84 	10    	0.312134	0.312134	0.312134
85 	10    	0.312134	0.312134	0.312134
86 	10    	0.312134	0.312134	0.312134
87 	10    	0.312134	0.312134	0.312134
88 	10    	0.312134	0.312134	0.312134
89 	10    	0.312134	0.312134	0.312134
90 	10    	0.312134	0.312134	0.312134
91 	10    	0.312134	0.312134	0.312134
92 	10    	0.312134	0.312134	0.312134
93 	10    	0.312134	0.312134	0.312134
94 	10    	0.312134	0.312134	0.312134
95 	10    	0.312134	0.312134	0.312134
96 	10    	0.312134	0.312134	0.312134
97 	10    	0.312134	0.312134	0.312134
98 	10    	0.312134	0.312134	0.312134
99 	10    	0.312134	0.312134	0.312134
100	10    	0.312134	0.312134	0.312134
101	10    	0.312134	0.312134	0.312134
102	10    	0.312134	0.312134	0.312134
103	10    	0.312134	0.312134	0.312134
104	10    	0.312134	0.312134	0.312134
105	10    	0.312134	0.312134	0.312134
106	10    	0.312134	0.312134	0.312134
107	10    	0.312134	0.312134	0.312134
108	10    	0.312134	0.312134	0.312134
109	10    	0.312134	0.312134	0.312134
110	10    	0.312134	0.312134	0.312134
111	10    	0.312134	0.312134	0.312134
112	10    	0.312134	0.312134	0.312134
113	10    	0.312134	0.312134	0.312134
114	10    	0.312134	0.312134	0.312134
115	10    	0.312134	0.312134	0.312134
116	10    	0.312134	0.312134	0.312134
117	10    	0.312134	0.312134	0.312134
118	10    	0.312134	0.312134	0.312134
119	10    	0.312134	0.312134	0.312134
120	10    	0.312134	0.312134	0.312134
121	10    	0.312134	0.312134	0.312134
122	10    	0.312134	0.312134	0.312134
123	10    	0.312134	0.312134	0.312134
124	10    	0.312134	0.312134	0.312134
125	10    	0.312134	0.312134	0.312134
126	10    	0.312134	0.312134	0.312134
127	10    	0.312134	0.312134	0.312134
128	10    	0.312134	0.312134	0.312134
129	10    	0.312134	0.312134	0.312134
130	10    	0.312134	0.312134	0.312134
131	10    	0.312134	0.312134	0.312134
132	10    	0.312134	0.312134	0.312134
133	10    	0.312134	0.312134	0.312134
134	10    	0.312134	0.312134	0.312134
135	10    	0.312134	0.312134	0.312134
136	10    	0.312134	0.312134	0.312134
137	10    	0.312134	0.312134	0.312134
138	10    	0.312134	0.312134	0.312134
139	10    	0.312134	0.312134	0.312134
140	10    	0.312134	0.312134	0.312134
141	10    	0.312134	0.312134	0.312134
142	10    	0.312134	0.312134	0.312134
143	10    	0.312134	0.312134	0.312134
144	10    	0.312134	0.312134	0.312134
145	10    	0.312134	0.312134	0.312134
146	10    	0.312134	0.312134	0.312134
147	10    	0.312134	0.312134	0.312134
148	10    	0.312134	0.312134	0.312134
149	10    	0.312134	0.312134	0.312134
150	10    	0.312134	0.312134	0.312134
151	10    	0.312134	0.312134	0.312134
