gen	nevals	avg    	min   	max   
1  	25    	2105.22	407.2 	3300  
2  	25    	2037.86	429.6 	4331.2
3  	25    	1709.82	637.6 	3148  
4  	25    	1747.65	540   	3212  
5  	25    	1884.16	632   	3957.6
6  	25    	1943.36	370.4 	3391.2
7  	25    	2509.18	1172  	4066.4
8  	25    	2255.52	601.6 	3677.6
9  	25    	2300.67	786.4 	3431.2
10 	25    	2293.63	780   	3448.8
11 	25    	2308.42	617.6 	3514.4
12 	25    	2384.06	897.6 	3766.4
13 	25    	2547.52	1313.6	4574.4
14 	25    	2194.34	1440.8	3540.8
15 	25    	2639.94	1487.2	3692.8
16 	25    	2405.47	1808.8	3203.2
17 	25    	2444.32	662.4 	3491.2
18 	25    	2390.02	1048.8	3369.6
19 	25    	2555.74	1188.8	3754.4
20 	25    	2473.57	1134.4	3392.8
21 	25    	2441.82	1909.6	3385.6
22 	25    	2312.45	731.2 	3904  
23 	25    	2565.34	1358.4	4120  
24 	25    	2376.35	1640.8	3564.8
25 	25    	2745.57	1718.4	4077.6
26 	25    	2648   	945.6 	3968  
27 	25    	2679.81	846.4 	3963.2
28 	25    	2339.94	639.2 	3525.6
29 	25    	2251.01	1312  	3096.8
30 	25    	2513.09	1552.8	3873.6
31 	25    	2386.69	1423.2	3224  
32 	25    	2436   	1523.2	3377.6
33 	25    	2438.5 	1222.4	3379.2
34 	25    	2321.47	1513.6	3699.2
35 	25    	2472.61	1545.6	3492  
36 	25    	2457.09	1536.8	3929.6
37 	25    	2584.1 	1462.4	3840.8
38 	25    	2456.03	1457.6	4031.2
39 	25    	2464.54	1699.2	3511.2
40 	25    	2514.3 	1520  	3494.4
41 	25    	2459.33	1019.2	4000.8
42 	25    	2625.15	1709.6	3500.8
43 	25    	2424.64	1276.8	3195.2
44 	25    	2568.29	1788  	3756.8
45 	25    	2585.73	1756  	4137.6
46 	25    	2624.8 	1757.6	3972.8
47 	25    	2340.93	1010.4	3832.8
48 	25    	2376.26	1588.8	3276  
