gen	nevals	avg      	min       	max     
1  	20    	0.0770312	0         	0.397656
2  	20    	0.064375 	0         	0.232031
3  	20    	0.0580859	0         	0.427344
4  	20    	0.0387891	0         	0.348438
5  	20    	0.128164 	0         	0.605469
6  	20    	0.0751172	0         	0.391406
7  	20    	0.110117 	0         	0.488281
8  	20    	0.17832  	0         	0.699219
9  	20    	0.400469 	0.00546875	0.770312
10 	20    	0.396328 	0         	0.738281
11 	20    	0.447266 	0.00546875	0.794531
12 	20    	0.491836 	0.00078125	0.836719
13 	20    	0.544258 	0.0789062 	0.709375
14 	20    	0.631914 	0.453125  	0.775781
15 	20    	0.560352 	0.194531  	0.792188
16 	20    	0.625117 	0.402344  	0.814844
17 	20    	0.584062 	0.182031  	0.778906
18 	20    	0.518555 	0.0265625 	0.767188
19 	20    	0.636719 	0.472656  	0.801562
20 	20    	0.599062 	0.303125  	0.790625
21 	20    	0.586523 	0.340625  	0.863281
22 	20    	0.603125 	0.425     	0.721094
23 	20    	0.638437 	0.508594  	0.924219
24 	20    	0.587969 	0.175781  	0.785156
25 	20    	0.55582  	0         	0.738281
26 	20    	0.661758 	0.476562  	0.760938
27 	20    	0.573125 	0.416406  	0.789844
28 	20    	0.594805 	0.428125  	0.835156
29 	20    	0.644492 	0.427344  	1       
30 	20    	0.582305 	0.139063  	0.827344
31 	20    	0.535312 	0.108594  	0.684375
32 	20    	0.599961 	0.383594  	0.825781
33 	20    	0.617539 	0.417187  	0.85625 
34 	20    	0.596055 	0.228125  	0.726562
35 	20    	0.560937 	0.0953125 	0.913281
36 	20    	0.64668  	0.469531  	0.769531
37 	20    	0.564531 	0.167187  	0.744531
38 	20    	0.629492 	0.421094  	0.786719
39 	20    	0.643477 	0.444531  	0.825781
40 	20    	0.602031 	0.307812  	0.799219
41 	20    	0.666289 	0.3875    	0.859375
42 	20    	0.603516 	0.35      	0.803125
43 	20    	0.616797 	0.345313  	0.844531
44 	20    	0.640078 	0.453125  	0.814063
45 	20    	0.623125 	0.286719  	0.817969
46 	20    	0.608047 	0.333594  	0.789844
47 	20    	0.628867 	0.441406  	0.794531
48 	20    	0.63375  	0.465625  	0.875   
49 	20    	0.621484 	0.49375   	0.789062
50 	20    	0.63082  	0.38125   	0.78125 
51 	20    	0.569609 	0.336719  	0.80625 
52 	20    	0.607031 	0.452344  	0.815625
53 	20    	0.615625 	0.338281  	0.770312
54 	20    	0.64957  	0.471875  	0.785156
55 	20    	0.607656 	0.451562  	0.802344
56 	20    	0.52168  	0.142187  	0.710938
57 	20    	0.616211 	0.31875   	0.858594
58 	20    	0.602812 	0.230469  	0.784375
59 	20    	0.593398 	0.279687  	0.775781
60 	20    	0.652109 	0.492969  	0.877344
61 	20    	0.578633 	0.303125  	0.758594
62 	20    	0.628242 	0.484375  	0.810156
63 	20    	0.58125  	0.440625  	0.723437
64 	20    	0.616602 	0.496875  	0.769531
65 	20    	0.663594 	0.563281  	0.84375 
66 	20    	0.60707  	0.454688  	0.800781
67 	20    	0.623789 	0.39375   	0.867969
68 	20    	0.586172 	0.345313  	0.764062
69 	20    	0.60375  	0.409375  	0.811719
70 	20    	0.658086 	0.502344  	0.810156
71 	20    	0.659258 	0.458594  	0.889844
72 	20    	0.620117 	0.407813  	0.807813
73 	20    	0.603086 	0.359375  	0.811719
74 	20    	0.604531 	0.3625    	0.815625
75 	20    	0.627773 	0.409375  	0.860938
76 	20    	0.625977 	0.413281  	0.851562
77 	20    	0.623633 	0.334375  	0.876563
78 	20    	0.587266 	0.494531  	0.685937
79 	20    	0.600156 	0.460156  	0.782031
80 	20    	0.671094 	0.474219  	0.847656
81 	20    	0.59582  	0.298438  	0.904687
82 	20    	0.640273 	0.500781  	0.830469
83 	20    	0.614219 	0.495312  	0.760156
84 	20    	0.625664 	0.432031  	0.890625
85 	20    	0.645742 	0.420312  	0.877344
86 	20    	0.625977 	0.446094  	0.796875
87 	20    	0.601172 	0.352344  	0.821094
88 	20    	0.589883 	0.38125   	0.763281
89 	20    	0.636328 	0.38125   	0.805469
90 	20    	0.649727 	0.463281  	0.824219
91 	20    	0.597695 	0.425     	0.775781
92 	20    	0.648867 	0.488281  	0.81875 
93 	20    	0.633945 	0.502344  	0.804688
94 	20    	0.629492 	0.490625  	0.758594
95 	20    	0.627773 	0.424219  	0.826562
96 	20    	0.647305 	0.473438  	0.935937
97 	20    	0.609453 	0.46875   	0.829688
98 	20    	0.612891 	0.457031  	0.851562
99 	20    	0.652891 	0.48125   	0.827344
100	20    	0.625    	0.404687  	0.79375 
101	20    	0.623672 	0.374219  	0.864062
102	20    	0.630742 	0.515625  	0.846875
103	20    	0.633359 	0.388281  	0.813281
104	20    	0.632031 	0.445312  	0.884375
105	20    	0.659141 	0.497656  	0.813281
106	20    	0.630703 	0.4375    	0.816406
107	20    	0.601836 	0.401562  	0.845313
108	20    	0.674023 	0.463281  	0.924219
109	20    	0.660859 	0.454688  	0.795312
110	20    	0.629766 	0.410156  	0.889844
111	20    	0.615859 	0.432812  	0.960156
112	20    	0.633008 	0.479687  	0.846094
113	20    	0.60418  	0.388281  	0.844531
114	20    	0.591641 	0.448437  	0.725   
115	20    	0.655391 	0.474219  	0.857031
116	20    	0.615234 	0.398438  	0.930469
117	20    	0.641523 	0.453906  	0.786719
118	20    	0.622383 	0.409375  	0.817969
119	20    	0.645391 	0.396094  	0.827344
120	20    	0.612812 	0.436719  	0.8375  
121	20    	0.585703 	0.339844  	0.80625 
122	20    	0.644297 	0.428906  	0.939063
123	20    	0.625391 	0.440625  	0.786719
124	20    	0.612227 	0.4125    	0.785937
125	20    	0.63043  	0.360156  	0.894531
126	20    	0.620703 	0.425     	0.851562
127	20    	0.570703 	0.365625  	0.750781
128	20    	0.616367 	0.469531  	0.773438
129	20    	0.668906 	0.532813  	0.892969
130	20    	0.638555 	0.482031  	0.813281
131	20    	0.616133 	0.460156  	0.814063
132	20    	0.605156 	0.446875  	0.7875  
133	20    	0.613789 	0.394531  	0.95625 
134	20    	0.658438 	0.347656  	0.878906
